No.	Name	Description	Block	Sub-Block	
60	NNRS	normalized number of ring systems	Ring descriptors	Basic descriptors	
61	nSpiro	number of spiro atoms	Ring descriptors	Basic descriptors	
62	nBridgeHead	number of bridgehead atoms	Ring descriptors	Basic descriptors	
63	nR03	number of 3-membered rings	Ring descriptors	Basic descriptors	
64	nR04	number of 4-membered rings	Ring descriptors	Basic descriptors	
65	nR05	number of 5-membered rings	Ring descriptors	Basic descriptors	
66	nR06	number of 6-membered rings	Ring descriptors	Basic descriptors	
67	nR07	number of 7-membered rings	Ring descriptors	Basic descriptors	
68	nR08	number of 8-membered rings	Ring descriptors	Basic descriptors	
69	nR09	number of 9-membered rings	Ring descriptors	Basic descriptors	
70	nR10	number of 10-membered rings	Ring descriptors	Basic descriptors	
71	nR11	number of 11-membered rings	Ring descriptors	Basic descriptors	
72	nR12	number of 12-membered rings	Ring descriptors	Basic descriptors	
73	nBnz	number of benzene-like rings	Ring descriptors	Basic descriptors	
74	ARR	aromatic ratio	Ring descriptors	Basic descriptors	
75	AP	aromatic proportion	Ring descriptors	Basic descriptors	
76	D/Dtr03	distance/detour ring index of order 3	Ring descriptors	Basic descriptors	
77	D/Dtr04	distance/detour ring index of order 4	Ring descriptors	Basic descriptors	
78	D/Dtr05	distance/detour ring index of order 5	Ring descriptors	Basic descriptors	
79	D/Dtr06	distance/detour ring index of order 6	Ring descriptors	Basic descriptors	
80	D/Dtr07	distance/detour ring index of order 7	Ring descriptors	Basic descriptors	
81	D/Dtr08	distance/detour ring index of order 8	Ring descriptors	Basic descriptors	
82	D/Dtr09	distance/detour ring index of order 9	Ring descriptors	Basic descriptors	
83	D/Dtr10	distance/detour ring index of order 10	Ring descriptors	Basic descriptors	
84	D/Dtr11	distance/detour ring index of order 11	Ring descriptors	Basic descriptors	
85	D/Dtr12	distance/detour ring index of order 12	Ring descriptors	Basic descriptors	
86	ZM1	first Zagreb index	Topological indices	Vertex degree-based indices	
87	ZM1V	first Zagreb index by valence vertex degrees	Topological indices	Vertex degree-based indices	
88	ZM1Kup	first Zagreb index by Kupchik vertex degrees	Topological indices	Vertex degree-based indices	
89	ZM1Mad	first Zagreb index by Madan vertex degrees	Topological indices	Vertex degree-based indices	
90	ZM1Per	first Zagreb index by perturbation vertex degrees	Topological indices	Vertex degree-based indices	
91	ZM1MulPer	first Zagreb index by multiplicative perturbation vertex degrees	Topological indices	Vertex degree-based indices	
92	ZM2	second Zagreb index	Topological indices	Vertex degree-based indices	
93	ZM2V	second Zagreb index by valence vertex degrees	Topological indices	Vertex degree-based indices	
94	ZM2Kup	second Zagreb index by Kupchik vertex degrees	Topological indices	Vertex degree-based indices	
95	ZM2Mad	second Zagreb index by Madan vertex degrees	Topological indices	Vertex degree-based indices	
96	ZM2Per	second Zagreb index by perturbation vertex degrees	Topological indices	Vertex degree-based indices	
97	ZM2MulPer	second Zagreb index by multiplicative perturbation vertex degrees	Topological indices	Vertex degree-based indices	
98	ON0	overall modified Zagreb index of order 0	Topological indices	Vertex degree-based indices	
99	ON0V	overall modified Zagreb index of order 0 by valence vertex degrees	Topological indices	Vertex degree-based indices	
100	ON1	overall modified Zagreb index of order 1	Topological indices	Vertex degree-based indices	
101	ON1V	overall modified Zagreb index of order 1 by valence vertex degrees	Topological indices	Vertex degree-based indices	
102	Qindex	quadratic index	Topological indices	Vertex degree-based indices	
103	BBI	Bertz branching index	Topological indices	Vertex degree-based indices	
104	DBI	Dragon branching index	Topological indices	Vertex degree-based indices	
105	SNar	Narumi simple topological index (log function)	Topological indices	Vertex degree-based indices	
106	HNar	Narumi harmonic topological index	Topological indices	Vertex degree-based indices	
107	GNar	Narumi geometric topological index	Topological indices	Vertex degree-based indices	
108	Xt	total structure connectivity index	Topological indices	Vertex degree-based indices	
109	Dz	Pogliani index	Topological indices	Vertex degree-based indices	
110	Ram	ramification index	Topological indices	Vertex degree-based indices	
111	BLI	Kier benzene-likeliness index	Topological indices	Vertex degree-based indices	
112	Pol	polarity number	Topological indices	Distance-based indices	
113	LPRS	log of product of row sums (PRS)	Topological indices	Distance-based indices	
114	MSD	mean square distance index (Balaban)	Topological indices	Distance-based indices	
115	SPI	superpendentic index	Topological indices	Distance-based indices	
116	PJI2	2D Petitjean shape index	Topological indices	Distance-based indices	
117	ECC	eccentricity	Topological indices	Distance-based indices	
118	AECC	average eccentricity	Topological indices	Distance-based indices	
119	DECC	eccentric	Topological indices	Distance-based indices	
120	MDDD	mean distance degree deviation	Topological indices	Distance-based indices	
121	UNIP	unipolarity	Topological indices	Distance-based indices	
122	CENT	centralization	Topological indices	Distance-based indices	
123	VAR	variation	Topological indices	Distance-based indices	
124	ICR	radial centric information index	Topological indices	Distance-based indices	
125	MaxTD	max topological distance	Topological indices	Distance-based indices	
126	MeanTD	mean pairwise topological distance	Topological indices	Distance-based indices	
127	MaxDD	max detour distance	Topological indices	Distance-based indices	
128	MeanDD	mean pairwise detour distance	Topological indices	Distance-based indices	
129	SMTI	Schultz Molecular Topological Index (MTI)	Topological indices	MTI indices	
130	SMTIV	Schultz Molecular Topological Index by valence vertex degrees	Topological indices	MTI indices	
131	GMTI	Gutman Molecular Topological Index	Topological indices	MTI indices	
132	GMTIV	Gutman Molecular Topological Index by valence vertex degrees	Topological indices	MTI indices	
133	Xu	Xu index	Topological indices	MTI indices	
134	CSI	eccentric connectivity index	Topological indices	MTI indices	
135	Wap	all-path Wiener index	Topological indices	Path/walk indices	
136	S1K	1-path Kier alpha-modified shape index	Topological indices	Path/walk indices	
137	S2K	2-path Kier alpha-modified shape index	Topological indices	Path/walk indices	
138	S3K	3-path Kier alpha-modified shape index	Topological indices	Path/walk indices	
139	PHI	Kier flexibility index	Topological indices	Path/walk indices	
140	PW2	path/walk 2 - Randic shape index	Topological indices	Path/walk indices	
141	PW3	path/walk 3 - Randic shape index	Topological indices	Path/walk indices	
142	PW4	path/walk 4 - Randic shape index	Topological indices	Path/walk indices	
143	PW5	path/walk 5 - Randic shape index	Topological indices	Path/walk indices	
144	MAXDN	maximal electrotopological negative variation	Topological indices	E-state indices	
145	MAXDP	maximal electrotopological positive variation	Topological indices	E-state indices	
146	DELS	molecular electrotopological variation	Topological indices	E-state indices	
147	TIE	E-state topological parameter	Topological indices	E-state indices	
148	Psi_i_s	intrinsic state pseudoconnectivity index - type S	Topological indices	E-state indices	
149	Psi_i_A	intrinsic state pseudoconnectivity index - type S average	Topological indices	E-state indices	
150	Psi_i_0	intrinsic state pseudoconnectivity index - type 0	Topological indices	E-state indices	
151	Psi_i_1	intrinsic state pseudoconnectivity index - type 1	Topological indices	E-state indices	
152	Psi_i_t	intrinsic state pseudoconnectivity index - type T	Topological indices	E-state indices	
153	Psi_i_0d	intrinsic state pseudoconnectivity index - type 0d	Topological indices	E-state indices	
154	Psi_i_1d	intrinsic state pseudoconnectivity index - type 1d	Topological indices	E-state indices	
155	Psi_i_1s	intrinsic state pseudoconnectivity index - type 1s	Topological indices	E-state indices	
156	Psi_e_A	electrotopological state pseudoconnectivity index - type S average	Topological indices	E-state indices	
157	Psi_e_0	electrotopological state pseudoconnectivity index - type 0	Topological indices	E-state indices	
158	Psi_e_1	electrotopological state pseudoconnectivity index - type 1	Topological indices	E-state indices	
159	Psi_e_t	electrotopological state pseudoconnectivity index - type T	Topological indices	E-state indices	
160	Psi_e_0d	electrotopological state pseudoconnectivity index - type 0d	Topological indices	E-state indices	
161	Psi_e_1d	electrotopological state pseudoconnectivity index - type 1d	Topological indices	E-state indices	
162	Psi_e_1s	electrotopological state pseudoconnectivity index - type 1s	Topological indices	E-state indices	
163	BAC	Balaban centric index	Topological indices	Centric indices	
164	LOC	lopping centric index	Topological indices	Centric indices	
165	MWC01	molecular walk count of order 1	Walk and path counts	Walk counts	
166	MWC02	molecular walk count of order 2	Walk and path counts	Walk counts	
167	MWC03	molecular walk count of order 3	Walk and path counts	Walk counts	
168	MWC04	molecular walk count of order 4	Walk and path counts	Walk counts	
169	MWC05	molecular walk count of order 5	Walk and path counts	Walk counts	
170	MWC06	molecular walk count of order 6	Walk and path counts	Walk counts	
171	MWC07	molecular walk count of order 7	Walk and path counts	Walk counts	
172	MWC08	molecular walk count of order 8	Walk and path counts	Walk counts	
173	MWC09	molecular walk count of order 9	Walk and path counts	Walk counts	
174	MWC10	molecular walk count of order 10	Walk and path counts	Walk counts	
175	SRW02	self-returning walk count of order 2	Walk and path counts	Self-returning walk counts	
176	SRW03	self-returning walk count of order 3	Walk and path counts	Self-returning walk counts	
177	SRW04	self-returning walk count of order 4	Walk and path counts	Self-returning walk counts	
178	SRW05	self-returning walk count of order 5	Walk and path counts	Self-returning walk counts	
179	SRW06	self-returning walk count of order 6	Walk and path counts	Self-returning walk counts	
180	SRW07	self-returning walk count of order 7	Walk and path counts	Self-returning walk counts	
181	SRW08	self-returning walk count of order 8	Walk and path counts	Self-returning walk counts	
182	SRW09	self-returning walk count of order 9	Walk and path counts	Self-returning walk counts	
183	SRW10	self-returning walk count of order 10	Walk and path counts	Self-returning walk counts	
184	MPC01	molecular path count of order 1 (no. of non-H bonds)	Walk and path counts	Path counts	
185	MPC02	molecular path count of order 2 (Gordon-Scantlebury index)	Walk and path counts	Path counts	
186	MPC03	molecular path count of order 3	Walk and path counts	Path counts	
187	MPC04	molecular path count of order 4	Walk and path counts	Path counts	
188	MPC05	molecular path count of order 5	Walk and path counts	Path counts	
189	MPC06	molecular path count of order 6	Walk and path counts	Path counts	
190	MPC07	molecular path count of order 7	Walk and path counts	Path counts	
191	MPC08	molecular path count of order 8	Walk and path counts	Path counts	
192	MPC09	molecular path count of order 9	Walk and path counts	Path counts	
193	MPC10	molecular path count of order 10	Walk and path counts	Path counts	
194	piPC01	molecular multiple path count of order 1	Walk and path counts	Multiple path counts	
195	piPC02	molecular multiple path count of order 2	Walk and path counts	Multiple path counts	
196	piPC03	molecular multiple path count of order 3	Walk and path counts	Multiple path counts	
197	piPC04	molecular multiple path count of order 4	Walk and path counts	Multiple path counts	
198	piPC05	molecular multiple path count of order 5	Walk and path counts	Multiple path counts	
199	piPC06	molecular multiple path count of order 6	Walk and path counts	Multiple path counts	
200	piPC07	molecular multiple path count of order 7	Walk and path counts	Multiple path counts	
201	piPC08	molecular multiple path count of order 8	Walk and path counts	Multiple path counts	
202	piPC09	molecular multiple path count of order 9	Walk and path counts	Multiple path counts	
203	piPC10	molecular multiple path count of order 10	Walk and path counts	Multiple path counts	
204	TWC	total walk count	Walk and path counts	ID numbers	
205	TPC	total path count	Walk and path counts	ID numbers	
206	piID	conventional bond order ID number	Walk and path counts	ID numbers	
207	PCR	ratio of multiple path count over path count	Walk and path counts	ID numbers	
208	PCD	difference between multiple path count and path count	Walk and path counts	ID numbers	
209	CID	Randic ID number	Walk and path counts	ID numbers	
210	BID	Balaban ID number	Walk and path counts	ID numbers	
211	X0	connectivity index of order 0	Connectivity indices	Kier-Hall molecular connectivity indices	
212	X1	connectivity index of order 1 (Randic connectivity index)	Connectivity indices	Kier-Hall molecular connectivity indices	
213	X2	connectivity index of order 2	Connectivity indices	Kier-Hall molecular connectivity indices	
214	X3	connectivity index of order 3	Connectivity indices	Kier-Hall molecular connectivity indices	
215	X4	connectivity index of order 4	Connectivity indices	Kier-Hall molecular connectivity indices	
216	X5	connectivity index of order 5	Connectivity indices	Kier-Hall molecular connectivity indices	
217	X0A	average connectivity index of order 0	Connectivity indices	Kier-Hall molecular connectivity indices	
218	X1A	average connectivity index of order 1	Connectivity indices	Kier-Hall molecular connectivity indices	
219	X2A	average connectivity index of order 2	Connectivity indices	Kier-Hall molecular connectivity indices	
220	X3A	average connectivity index of order 3	Connectivity indices	Kier-Hall molecular connectivity indices	
221	X4A	average connectivity index of order 4	Connectivity indices	Kier-Hall molecular connectivity indices	
222	X5A	average connectivity index of order 5	Connectivity indices	Kier-Hall molecular connectivity indices	
223	X0v	valence connectivity index of order 0	Connectivity indices	Kier-Hall molecular connectivity indices	
224	X1v	valence connectivity index of order 1	Connectivity indices	Kier-Hall molecular connectivity indices	
225	X2v	valence connectivity index of order 2	Connectivity indices	Kier-Hall molecular connectivity indices	
226	X3v	valence connectivity index of order 3	Connectivity indices	Kier-Hall molecular connectivity indices	
227	X4v	valence connectivity index of order 4	Connectivity indices	Kier-Hall molecular connectivity indices	
228	X5v	valence connectivity index of order 5	Connectivity indices	Kier-Hall molecular connectivity indices	
229	X0Av	average valence connectivity index of order 0	Connectivity indices	Kier-Hall molecular connectivity indices	
230	X1Av	average valence connectivity index of order 1	Connectivity indices	Kier-Hall molecular connectivity indices	
231	X2Av	average valence connectivity index of order 2	Connectivity indices	Kier-Hall molecular connectivity indices	
232	X3Av	average valence connectivity index of order 3	Connectivity indices	Kier-Hall molecular connectivity indices	
233	X4Av	average valence connectivity index of order 4	Connectivity indices	Kier-Hall molecular connectivity indices	
234	X5Av	average valence connectivity index of order 5	Connectivity indices	Kier-Hall molecular connectivity indices	
235	X0sol	solvation connectivity index of order 0	Connectivity indices	Solvation connectivity indices	
236	X1sol	solvation connectivity index of order 1	Connectivity indices	Solvation connectivity indices	
237	X2sol	solvation connectivity index of order 2	Connectivity indices	Solvation connectivity indices	
238	X3sol	solvation connectivity index of order 3	Connectivity indices	Solvation connectivity indices	
239	X4sol	solvation connectivity index of order 4	Connectivity indices	Solvation connectivity indices	
240	X5sol	solvation connectivity index of order 5	Connectivity indices	Solvation connectivity indices	
241	XMOD	modified Randic index	Connectivity indices	Randic-like connectivity indices	
242	RDCHI	reciprocal distance sum Randic-like index	Connectivity indices	Randic-like connectivity indices	
243	RDSQ	reciprocal distance sum inverse Randic-like index	Connectivity indices	Randic-like connectivity indices	
244	X1Kup	Kupchik connectivity index	Connectivity indices	Randic-like connectivity indices	
245	X1Mad	connectivity topochemical index	Connectivity indices	Randic-like connectivity indices	
246	X1Per	perturbation connectivity index	Connectivity indices	Randic-like connectivity indices	
247	X1MulPer	multiplicative perturbation connectivity index	Connectivity indices	Randic-like connectivity indices	
248	ISIZ	information index on molecular size	Information indices	Basic descriptors	
249	IAC	total information index on atomic composition	Information indices	Basic descriptors	
250	AAC	mean information index on atomic composition	Information indices	Basic descriptors	
251	IDE	mean information content on the distance equality	Information indices	Basic descriptors	
252	IDM	mean information content on the distance magnitude	Information indices	Basic descriptors	
253	IDDE	mean information content on the distance degree equality	Information indices	Basic descriptors	
254	IDDM	mean information content on the distance degree magnitude	Information indices	Basic descriptors	
255	IDET	total information content on the distance equality	Information indices	Basic descriptors	
256	IDMT	total information content on the distance magnitude	Information indices	Basic descriptors	
257	IVDE	mean information content on the vertex degree equality	Information indices	Basic descriptors	
258	IVDM	mean information content on the vertex degree magnitude	Information indices	Basic descriptors	
259	Ges	Number of symmetry classes (based on electrotopological state)	Information indices	Basic descriptors	
260	rGes	Relative number of symmetry classes (based on electrotopological state)	Information indices	Basic descriptors	
261	S0K	Kier symmetry index	Information indices	Basic descriptors	
262	HVcpx	graph vertex complexity index	Information indices	Basic descriptors	
263	HDcpx	graph distance complexity index (log function)	Information indices	Basic descriptors	
264	Uindex	Balaban U index	Information indices	Basic descriptors	
265	Vindex	Balaban V index	Information indices	Basic descriptors	
266	Xindex	Balaban X index	Information indices	Basic descriptors	
267	Yindex	Balaban Y index	Information indices	Basic descriptors	
268	BertzCT	Bertz complexity index	Information indices	Basic descriptors	
269	IC0	Information Content index (neighborhood symmetry of 0-order)	Information indices	Indices of neighborhood symmetry	
270	IC1	Information Content index (neighborhood symmetry of 1-order)	Information indices	Indices of neighborhood symmetry	
271	IC2	Information Content index (neighborhood symmetry of 2-order)	Information indices	Indices of neighborhood symmetry	
272	IC3	Information Content index (neighborhood symmetry of 3-order)	Information indices	Indices of neighborhood symmetry	
273	IC4	Information Content index (neighborhood symmetry of 4-order)	Information indices	Indices of neighborhood symmetry	
274	IC5	Information Content index (neighborhood symmetry of 5-order)	Information indices	Indices of neighborhood symmetry	
275	TIC0	Total Information Content index (neighborhood symmetry of 0-order)	Information indices	Indices of neighborhood symmetry	
276	TIC1	Total Information Content index (neighborhood symmetry of 1-order)	Information indices	Indices of neighborhood symmetry	
277	TIC2	Total Information Content index (neighborhood symmetry of 2-order)	Information indices	Indices of neighborhood symmetry	
278	TIC3	Total Information Content index (neighborhood symmetry of 3-order)	Information indices	Indices of neighborhood symmetry	
279	TIC4	Total Information Content index (neighborhood symmetry of 4-order)	Information indices	Indices of neighborhood symmetry	
280	TIC5	Total Information Content index (neighborhood symmetry of 5-order)	Information indices	Indices of neighborhood symmetry	
281	SIC0	Structural Information Content index (neighborhood symmetry of 0-order)	Information indices	Indices of neighborhood symmetry	
282	SIC1	Structural Information Content index (neighborhood symmetry of 1-order)	Information indices	Indices of neighborhood symmetry	
283	SIC2	Structural Information Content index (neighborhood symmetry of 2-order)	Information indices	Indices of neighborhood symmetry	
284	SIC3	Structural Information Content index (neighborhood symmetry of 3-order)	Information indices	Indices of neighborhood symmetry	
285	SIC4	Structural Information Content index (neighborhood symmetry of 4-order)	Information indices	Indices of neighborhood symmetry	
286	SIC5	Structural Information Content index (neighborhood symmetry of 5-order)	Information indices	Indices of neighborhood symmetry	
287	CIC0	Complementary Information Content index (neighborhood symmetry of 0-order)	Information indices	Indices of neighborhood symmetry	
288	CIC1	Complementary Information Content index (neighborhood symmetry of 1-order)	Information indices	Indices of neighborhood symmetry	
289	CIC2	Complementary Information Content index (neighborhood symmetry of 2-order)	Information indices	Indices of neighborhood symmetry	
290	CIC3	Complementary Information Content index (neighborhood symmetry of 3-order)	Information indices	Indices of neighborhood symmetry	
291	CIC4	Complementary Information Content index (neighborhood symmetry of 4-order)	Information indices	Indices of neighborhood symmetry	
292	CIC5	Complementary Information Content index (neighborhood symmetry of 5-order)	Information indices	Indices of neighborhood symmetry	
293	BIC0	Bond Information Content index (neighborhood symmetry of 0-order)	Information indices	Indices of neighborhood symmetry	
294	BIC1	Bond Information Content index (neighborhood symmetry of 1-order)	Information indices	Indices of neighborhood symmetry	
295	BIC2	Bond Information Content index (neighborhood symmetry of 2-order)	Information indices	Indices of neighborhood symmetry	
296	BIC3	Bond Information Content index (neighborhood symmetry of 3-order)	Information indices	Indices of neighborhood symmetry	
297	BIC4	Bond Information Content index (neighborhood symmetry of 4-order)	Information indices	Indices of neighborhood symmetry	
298	BIC5	Bond Information Content index (neighborhood symmetry of 5-order)	Information indices	Indices of neighborhood symmetry	
299	J_A	Balaban-like index from adjacency matrix	2D matrix-based descriptors	Adjacency matrix (A)	
300	SpPos_A	spectral positive sum from adjacency matrix	2D matrix-based descriptors	Adjacency matrix (A)	
301	SpPosA_A	normalized spectral positive sum from adjacency matrix	2D matrix-based descriptors	Adjacency matrix (A)	
302	SpPosLog_A	logarithmic spectral positive sum from adjacency matrix	2D matrix-based descriptors	Adjacency matrix (A)	
303	SpMax_A	leading eigenvalue from adjacency matrix (Lovasz-Pelikan index)	2D matrix-based descriptors	Adjacency matrix (A)	
304	SpMaxA_A	normalized leading eigenvalue from adjacency matrix	2D matrix-based descriptors	Adjacency matrix (A)	
305	SpDiam_A	spectral diameter from adjacency matrix	2D matrix-based descriptors	Adjacency matrix (A)	
306	SpAD_A	spectral absolute deviation from adjacency matrix	2D matrix-based descriptors	Adjacency matrix (A)	
307	SpMAD_A	spectral mean absolute deviation from adjacency matrix	2D matrix-based descriptors	Adjacency matrix (A)	
308	Ho_A	Hosoya-like index (log function) from adjacency matrix	2D matrix-based descriptors	Adjacency matrix (A)	
309	EE_A	Estrada-like index (log function) from adjacency matrix	2D matrix-based descriptors	Adjacency matrix (A)	
310	VE1_A	coefficient sum of the last eigenvector (absolute values) from adjacency matrix	2D matrix-based descriptors	Adjacency matrix (A)	
311	VE2_A	average coefficient of the last eigenvector (absolute values) from adjacency matrix	2D matrix-based descriptors	Adjacency matrix (A)	
312	VE3_A	logarithmic coefficient sum of the last eigenvector (absolute values) from adjacency matrix	2D matrix-based descriptors	Adjacency matrix (A)	
313	VE1sign_A	coefficient sum of the last eigenvector from adjacency matrix	2D matrix-based descriptors	Adjacency matrix (A)	
314	VE2sign_A	average coefficient of the last eigenvector from adjacency matrix	2D matrix-based descriptors	Adjacency matrix (A)	
315	VE3sign_A	logarithmic coefficient sum of the last eigenvector from adjacency matrix	2D matrix-based descriptors	Adjacency matrix (A)	
316	VR1_A	Randic-like eigenvector-based index from adjacency matrix	2D matrix-based descriptors	Adjacency matrix (A)	
317	VR2_A	normalized Randic-like eigenvector-based index from adjacency matrix	2D matrix-based descriptors	Adjacency matrix (A)	
318	VR3_A	logarithmic Randic-like eigenvector-based index from adjacency matrix	2D matrix-based descriptors	Adjacency matrix (A)	
319	Wi_D	Wiener-like index from topological distance matrix (Wiener index)	2D matrix-based descriptors	Topological distance matrix (D)	
320	WiA_D	average Wiener-like index from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
321	AVS_D	average vertex sum from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
322	H_D	Harary-like index from topological distance matrix (Harary index)	2D matrix-based descriptors	Topological distance matrix (D)	
323	Chi_D	Randic-like index from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
324	ChiA_D	average Randic-like index from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
325	J_D	Balaban-like index from topological distance matrix (Balaban distance connectivity index)	2D matrix-based descriptors	Topological distance matrix (D)	
326	HyWi_D	hyper-Wiener-like index (log function) from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
327	SpPos_D	spectral positive sum from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
328	SpPosA_D	normalized spectral positive sum from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
329	SpPosLog_D	logarithmic spectral positive sum from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
330	SpMax_D	leading eigenvalue from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
331	SpMaxA_D	normalized leading eigenvalue from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
332	SpDiam_D	spectral diameter from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
333	SpAD_D	spectral absolute deviation from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
334	SpMAD_D	spectral mean absolute deviation from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
335	Ho_D	Hosoya-like index (log function) from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
336	EE_D	Estrada-like index (log function) from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
337	SM2_D	spectral moment of order 2 from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
338	SM3_D	spectral moment of order 3 from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
339	SM4_D	spectral moment of order 4 from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
340	SM5_D	spectral moment of order 5 from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
341	SM6_D	spectral moment of order 6 from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
342	VE1_D	coefficient sum of the last eigenvector (absolute values) from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
343	VE2_D	average coefficient of the last eigenvector (absolute values) from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
344	VE3_D	logarithmic coefficient sum of the last eigenvector (absolute values) from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
345	VE1sign_D	coefficient sum of the last eigenvector from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
346	VE2sign_D	average coefficient of the last eigenvector from topological distance matrix	2D matrix-based descriptors	Topological distance matrix (D)	
