No.	NAME	CATS3D_02_DD	CATS3D_03_DD	CATS3D_04_DD	CATS3D_05_DD	CATS3D_06_DD	CATS3D_07_DD	CATS3D_08_DD	CATS3D_09_DD	CATS3D_10_DD	CATS3D_11_DD	CATS3D_12_DD	CATS3D_13_DD	CATS3D_14_DD	CATS3D_15_DD	CATS3D_02_DA	CATS3D_03_DA	CATS3D_04_DA	CATS3D_05_DA	CATS3D_06_DA	CATS3D_07_DA	CATS3D_08_DA	CATS3D_09_DA	CATS3D_10_DA	CATS3D_11_DA	CATS3D_12_DA	CATS3D_13_DA	CATS3D_14_DA	CATS3D_02_DP	CATS3D_03_DP	CATS3D_04_DP	CATS3D_05_DP	CATS3D_06_DP	CATS3D_07_DP	CATS3D_08_DP	CATS3D_09_DP	CATS3D_10_DP	CATS3D_11_DP	CATS3D_12_DP	CATS3D_02_DN	CATS3D_03_DN	CATS3D_04_DN	CATS3D_05_DN	CATS3D_06_DN	CATS3D_07_DN	CATS3D_08_DN	CATS3D_09_DN	CATS3D_10_DN	CATS3D_11_DN	CATS3D_06_DL	CATS3D_07_DL	CATS3D_08_DL	CATS3D_09_DL	CATS3D_10_DL	CATS3D_11_DL	CATS3D_12_DL	CATS3D_13_DL	CATS3D_14_DL	CATS3D_15_DL	CATS3D_02_AA	CATS3D_03_AA	CATS3D_04_AA	CATS3D_05_AA	CATS3D_06_AA	CATS3D_07_AA	CATS3D_08_AA	CATS3D_09_AA	CATS3D_10_AA	CATS3D_11_AA	CATS3D_12_AA	CATS3D_13_AA	CATS3D_14_AA	CATS3D_02_AP	CATS3D_03_AP	CATS3D_04_AP	CATS3D_05_AP	CATS3D_06_AP	CATS3D_07_AP	CATS3D_08_AP	CATS3D_09_AP	CATS3D_10_AP	CATS3D_11_AP	CATS3D_12_AP	CATS3D_13_AP	CATS3D_14_AP	CATS3D_03_AN	CATS3D_04_AN	CATS3D_05_AN	CATS3D_06_AN	CATS3D_07_AN	CATS3D_08_AN	CATS3D_09_AN	CATS3D_10_AN	CATS3D_11_AN	CATS3D_12_AN	CATS3D_13_AN	CATS3D_14_AN	CATS3D_02_AL	CATS3D_04_AL	CATS3D_05_AL	CATS3D_06_AL	CATS3D_07_AL	CATS3D_08_AL	CATS3D_09_AL	CATS3D_10_AL	CATS3D_11_AL	CATS3D_12_AL	CATS3D_13_AL	CATS3D_14_AL	CATS3D_15_AL	CATS3D_16_AL	CATS3D_17_AL	CATS3D_02_PP	CATS3D_03_PP	CATS3D_05_PP	CATS3D_06_PP	CATS3D_07_PP	CATS3D_08_PP	CATS3D_09_PP	CATS3D_10_PP	CATS3D_11_PP	CATS3D_12_PP	CATS3D_02_PN	CATS3D_03_PN	CATS3D_04_PN	CATS3D_05_PN	CATS3D_06_PN	CATS3D_07_PN	CATS3D_08_PN	CATS3D_09_PN	CATS3D_10_PN	CATS3D_11_PN	CATS3D_03_PL	CATS3D_04_PL	CATS3D_05_PL	CATS3D_06_PL	CATS3D_07_PL	CATS3D_08_PL	CATS3D_09_PL	CATS3D_10_PL	CATS3D_11_PL	CATS3D_12_PL	CATS3D_13_PL	CATS3D_14_PL	CATS3D_15_PL	CATS3D_16_PL	CATS3D_17_PL	CATS3D_03_NN	CATS3D_04_NN	CATS3D_05_NN	CATS3D_06_NN	CATS3D_07_NN	CATS3D_08_NN	CATS3D_09_NN	CATS3D_10_NN	CATS3D_03_NL	CATS3D_06_NL	CATS3D_07_NL	CATS3D_08_NL	CATS3D_09_NL	CATS3D_10_NL	CATS3D_11_NL	CATS3D_12_NL	CATS3D_13_NL	CATS3D_14_NL	CATS3D_02_LL	CATS3D_04_LL	CATS3D_05_LL	CATS3D_08_LL	CATS3D_09_LL	CATS3D_10_LL	CATS3D_11_LL	CATS3D_12_LL	CATS3D_13_LL	CATS3D_14_LL	CATS3D_15_LL	CATS3D_16_LL
11	2-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	3	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	5	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	14	9	2	0	0	0	0	0	0	0	0
12	2-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	3	5	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	5	6	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	14	9	2	0	0	0	0	0	0	0	0
13	4-2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	1	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	5	5	0	0	0	0	0	0	0	0	0
14	4-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	4	1	4	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0
15	4-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	3	4	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	15	9	0	0	0	0	0	0	0	0	0
16	4-3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	18	9	3	0	0	0	0	0	0	0	0
17	2-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	3	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	4	6	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	14	9	2	0	0	0	0	0	0	0	0
18	4-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	7	3	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	7	2	0	0	0	0	0	0	0	0
19	2-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	3	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	5	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	15	8	2	0	0	0	0	0	0	0	0
20	4-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	5	1	4	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0
21	4-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	3	4	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0
22	4-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	3	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	6	7	2	0	0	0	0	0	0	0	0
23	4-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	3	3	2	5	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0
24	4-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	5	4	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	16	8	0	0	0	0	0	0	0	0	0
25	4-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	2	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	22	14	0	0	0	0	0	0	0	0	0
26	2-9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	1	1	0	0	0	0	0	0	1	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	11	5	8	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	15	8	2	0	0	0	0	0	0	0	0
27	4-28a	1	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	2	2	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	5	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	1	1	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5	0	0	0	0	0	0	0	0	0
28	4-28a	1	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	2	1	2	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	5	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	2	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	6	0	0	0	0	0	0	0	0	0
