No.	NAME	nCIR	Rperim	Rbrid	MCD	NRS	NNRS	nR04	nR05	nR06	nR07	nR08	nBnz	ARR	D/Dtr04	D/Dtr05	D/Dtr06	D/Dtr08
91	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
92	Cephaloridine	5	19	1	0.678571428571429	3	0.75	1	1	2	0	1	0	0.354838709677419	54.6629981129981	84.7618149738119	175.468353206821	111.533893883894
93	Cefsulodin	5	20	1	0.555555555555556	3	0.75	1	0	3	0	1	1	0.307692307692308	76.7218781218781	0	377.905953764158	155.964690864691
94	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
95	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
96	BL-S217	4	14	1	0.482758620689655	2	0.666666666666667	1	0	2	0	1	0	0.193548387096774	59.9694974959681	0	198.840223648041	123.931978479037
97	Cephalosporin C	3	8	1	0.296296296296296	1	0.5	1	0	1	0	1	0	0	56.7561993561994	0	85.7270396270396	117.481951381951
98	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
99	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
100	Cefotaxime	4	13	1	0.433333333333333	2	0.666666666666667	1	1	1	0	1	0	0.15625	62.1015234765235	93.9816174022056	94.0620823620824	128.679079254079
101	Cyclacillin	4	13	1	0.565217391304348	2	0.666666666666667	1	1	1	1	0	0	0	44.1790431790432	55.6591741591742	77.739849039849	0
102	Cefoperazone	6	25	1	0.568181818181818	4	0.8	1	1	3	0	1	1	0.229166666666667	96.7428138253216	143.742533572902	485.928798026356	199.343185031343
103	Cefsulodin	5	20	1	0.555555555555556	3	0.75	1	0	3	0	1	1	0.307692307692308	76.7218781218781	0	377.905953764158	155.964690864691
104	Cefmetazole	4	13	1	0.433333333333333	2	0.666666666666667	1	1	1	0	1	0	0.15625	61.6687090687091	91.6476095971452	90.826554001554	125.425815850816
105	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
106	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
107	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
108	Cephalexin	4	14	1	0.583333333333333	2	0.666666666666667	1	0	2	0	1	1	0.230769230769231	44.8081085581086	0	153.259998824705	95.4293095793096
109	Moxalactam	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	1	0.282051282051282	75.0388278388279	113.138033990433	247.562226663347	154.103948828949
110	SCE-796	5	20	1	0.571428571428571	3	0.75	1	0	3	0	1	1	0.315789473684211	74.0855144855145	0	364.835907633818	150.407115107115
111	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
112	Cyclacillin	4	13	1	0.565217391304348	2	0.666666666666667	1	1	1	1	0	0	0	44.1790431790432	55.6591741591742	77.739849039849	0
113	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
114	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
115	Cefaclor	4	14	1	0.583333333333333	2	0.666666666666667	1	0	2	0	1	1	0.230769230769231	44.8081085581086	0	153.259998824705	95.4293095793096
116	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
117	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
118	BL-S217	4	14	1	0.482758620689655	2	0.666666666666667	1	0	2	0	1	0	0.193548387096774	59.9694974959681	0	198.840223648041	123.931978479037
119	Ceftizoxime	4	13	1	0.52	2	0.666666666666667	1	1	1	0	1	0	0.185185185185185	48.2023171273171	74.6701295436589	76.222471972472	103.310897435897
120	Cyclacillin	4	13	1	0.565217391304348	2	0.666666666666667	1	1	1	1	0	0	0	44.1790431790432	55.6591741591742	77.739849039849	0
121	Cephalexin	4	14	1	0.583333333333333	2	0.666666666666667	1	0	2	0	1	1	0.230769230769231	44.8081085581086	0	153.259998824705	95.4293095793096
122	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
123	Cefamandole	5	19	1	0.612903225806452	3	0.75	1	1	2	0	1	1	0.323529411764706	62.7565767565768	93.7874597280944	206.288511489632	127.998992673993
124	Cefazolin	5	18	1	0.620689655172414	3	0.75	1	2	1	0	1	0	0.3125	58.6643967143967	176.089932161062	86.8286657786658	119.259978909979
125	Cephalosporin C	3	8	1	0.296296296296296	1	0.5	1	0	1	0	1	0	0	56.7561993561994	0	85.7270396270396	117.481951381951
126	Cefoxitin	4	13	1	0.464285714285714	2	0.666666666666667	1	1	1	0	1	0	0.166666666666667	55.7231934731935	87.5689189895072	84.2208125208125	115.519802419802
127	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
128	Cyclacillin	4	13	1	0.565217391304348	2	0.666666666666667	1	1	1	1	0	0	0	44.1790431790432	55.6591741591742	77.739849039849	0
129	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
130	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
131	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
132	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
133	Ampicillin	4	13	1	0.541666666666667	2	0.666666666666667	1	1	1	1	0	1	0.230769230769231	47.5813797313797	59.7656898656899	85.0553998289292	0
134	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
135	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
136	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
137	Cephalosporin C	3	8	1	0.296296296296296	1	0.5	1	0	1	0	1	0	0	56.7561993561994	0	85.7270396270396	117.481951381951
138	Ceftizoxime	4	13	1	0.52	2	0.666666666666667	1	1	1	0	1	0	0.185185185185185	48.2023171273171	74.6701295436589	76.222471972472	103.310897435897
139	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
140	Cefazolin	5	18	1	0.620689655172414	3	0.75	1	2	1	0	1	0	0.3125	58.6643967143967	176.089932161062	86.8286657786658	119.259978909979
141	Cephalosporin C	3	8	1	0.296296296296296	1	0.5	1	0	1	0	1	0	0	56.7561993561994	0	85.7270396270396	117.481951381951
142	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
143	Cefacetrile	3	8	1	0.347826086956522	1	0.5	1	0	1	0	1	0	0	45.4692640692641	0	67.768253968254	93.2196248196248
144	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
145	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
146	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
147	Cefaclor	4	14	1	0.583333333333333	2	0.666666666666667	1	0	2	0	1	1	0.230769230769231	44.8081085581086	0	153.259998824705	95.4293095793096
148	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
149	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
150	LY097964	4	13	1	0.5	2	0.666666666666667	1	1	1	0	1	0	0.178571428571429	50.6785076035076	78.3930732666027	79.2462814962815	107.715659340659
151	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
152	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
153	Cefacetrile	3	8	1	0.347826086956522	1	0.5	1	0	1	0	1	0	0	45.4692640692641	0	67.768253968254	93.2196248196248
154	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
155	BL-S217	4	14	1	0.482758620689655	2	0.666666666666667	1	0	2	0	1	0	0.193548387096774	59.9694974959681	0	198.840223648041	123.931978479037
156	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
157	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
158	Cephaloglycin	4	14	1	0.5	2	0.666666666666667	1	0	2	0	1	1	0.2	56.2311244311244	0	186.48076109477	116.39272949273
159	Cefaclor	4	14	1	0.583333333333333	2	0.666666666666667	1	0	2	0	1	1	0.230769230769231	44.8081085581086	0	153.259998824705	95.4293095793096
160	Cephaloglycin	4	14	1	0.5	2	0.666666666666667	1	0	2	0	1	1	0.2	56.2311244311244	0	186.48076109477	116.39272949273
161	Cyclacillin	4	13	1	0.565217391304348	2	0.666666666666667	1	1	1	1	0	0	0	44.1790431790432	55.6591741591742	77.739849039849	0
162	Cephaloridine	5	19	1	0.678571428571429	3	0.75	1	1	2	0	1	0	0.354838709677419	54.6629981129981	84.7618149738119	175.468353206821	111.533893883894
163	Cefacetrile	3	8	1	0.347826086956522	1	0.5	1	0	1	0	1	0	0	45.4692640692641	0	67.768253968254	93.2196248196248
164	Cephaloridine	5	19	1	0.678571428571429	3	0.75	1	1	2	0	1	0	0.354838709677419	54.6629981129981	84.7618149738119	175.468353206821	111.533893883894
165	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
166	SCE-796	5	20	1	0.571428571428571	3	0.75	1	0	3	0	1	1	0.315789473684211	74.0855144855145	0	364.835907633818	150.407115107115
167	Cephalosporin C	3	8	1	0.296296296296296	1	0.5	1	0	1	0	1	0	0	56.7561993561994	0	85.7270396270396	117.481951381951
168	Cefacetrile	3	8	1	0.347826086956522	1	0.5	1	0	1	0	1	0	0	45.4692640692641	0	67.768253968254	93.2196248196248
169	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
170	Cyclacillin	4	13	1	0.565217391304348	2	0.666666666666667	1	1	1	1	0	0	0	44.1790431790432	55.6591741591742	77.739849039849	0
171	Cephaloridine	5	19	1	0.678571428571429	3	0.75	1	1	2	0	1	0	0.354838709677419	54.6629981129981	84.7618149738119	175.468353206821	111.533893883894
172	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
173	Cefotaxime	4	13	1	0.433333333333333	2	0.666666666666667	1	1	1	0	1	0	0.15625	62.1015234765235	93.9816174022056	94.0620823620824	128.679079254079
174	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
175	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
176	Moxalactam	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	1	0.282051282051282	75.0388278388279	113.138033990433	247.562226663347	154.103948828949
177	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
178	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
179	Cyclacillin	4	13	1	0.565217391304348	2	0.666666666666667	1	1	1	1	0	0	0	44.1790431790432	55.6591741591742	77.739849039849	0
180	Ofloxacin	8	18	3	0.730769230769231	2	0.5	0	0	4	0	0	1	0.206896551724138	0	0	210.135178804683	0
181	Ceftizoxime	4	13	1	0.52	2	0.666666666666667	1	1	1	0	1	0	0.185185185185185	48.2023171273171	74.6701295436589	76.222471972472	103.310897435897
182	SCE-796	5	20	1	0.571428571428571	3	0.75	1	0	3	0	1	1	0.315789473684211	74.0855144855145	0	364.835907633818	150.407115107115
183	Penicillin N	3	7	1	0.291666666666667	1	0.5	1	1	0	1	0	0	0	51.2483405483406	63.736297036297	0	0
184	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
185	Cefazolin	5	18	1	0.620689655172414	3	0.75	1	2	1	0	1	0	0.3125	58.6643967143967	176.089932161062	86.8286657786658	119.259978909979
186	Ofloxacin	8	18	3	0.730769230769231	2	0.5	0	0	4	0	0	1	0.206896551724138	0	0	210.135178804683	0
187	Cefotaxime	4	13	1	0.433333333333333	2	0.666666666666667	1	1	1	0	1	0	0.15625	62.1015234765235	93.9816174022056	94.0620823620824	128.679079254079
188	Cefmetazole	4	13	1	0.433333333333333	2	0.666666666666667	1	1	1	0	1	0	0.15625	61.6687090687091	91.6476095971452	90.826554001554	125.425815850816
