No.	NAME	C-002	C-003	C-005	C-006	C-008	C-009	C-011	C-012	C-016	C-019	C-024	C-025	C-026	C-027	C-028	C-029	C-033	C-034	C-039	C-040	C-041	C-042	C-044	H-046	H-047	H-048	H-049	H-051	H-052	H-053	O-058	O-060	O-062	N-068	N-072	N-074	N-079
23	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
24	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
25	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
26	Cyclacillin	5	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	2	1	0	0	10	0	3	0	1	0	2	0	1
27	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
28	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
29	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
30	Cefoperazone	0	0	1	5	2	1	0	0	0	1	4	1	1	0	0	0	0	0	0	5	1	0	1	0	19	1	0	0	3	0	6	0	1	0	5	0	0
31	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
32	Cefoperazone	0	0	1	5	2	1	0	0	0	1	4	1	1	0	0	0	0	0	0	5	1	0	1	0	19	1	0	0	3	0	6	0	1	0	5	0	0
33	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
34	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
35	Cefoperazone	0	0	1	5	2	1	0	0	0	1	4	1	1	0	0	0	0	0	0	5	1	0	1	0	19	1	0	0	3	0	6	0	1	0	5	0	0
36	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
37	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
38	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
39	Cefsulodin	0	0	0	2	2	1	0	0	0	1	7	2	0	2	0	0	0	0	0	4	0	0	0	0	13	1	2	0	0	0	6	0	2	0	3	0	0
40	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
41	Nocardicin B	1	0	0	2	3	0	0	0	0	0	8	2	2	0	0	0	0	0	1	4	0	0	0	0	15	0	0	0	0	2	4	2	2	0	2	1	1
42	Cyclacillin	5	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	2	1	0	0	10	0	3	0	1	0	2	0	1
43	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
44	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
45	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
46	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
47	Cefmetazole	0	0	2	4	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	14	1	0	0	0	0	3	0	1	0	2	1	0
48	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
49	Cefoperazone	0	0	1	5	2	1	0	0	0	1	4	1	1	0	0	0	0	0	0	5	1	0	1	0	19	1	0	0	3	0	6	0	1	0	5	0	0
50	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
51	Ofloxacin	0	0	1	5	1	0	0	0	0	0	1	1	4	0	0	0	0	0	1	1	0	0	0	0	15	1	0	0	3	0	2	1	1	0	0	0	1
52	Nocardicin B	1	0	0	2	3	0	0	0	0	0	8	2	2	0	0	0	0	0	1	4	0	0	0	0	15	0	0	0	0	2	4	2	2	0	2	1	1
53	SCE-796	0	1	0	2	1	1	0	0	0	1	7	2	0	2	0	0	0	0	0	5	0	0	0	0	12	1	2	1	0	0	5	0	2	0	3	0	0
54	Cefsulodin	0	0	0	2	2	1	0	0	0	1	7	2	0	2	0	0	0	0	0	4	0	0	0	0	13	1	2	0	0	0	6	0	2	0	3	0	0
55	SCE-796	0	1	0	2	1	1	0	0	0	1	7	2	0	2	0	0	0	0	0	5	0	0	0	0	12	1	2	1	0	0	5	0	2	0	3	0	0
56	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
57	Cefoperazone	0	0	1	5	2	1	0	0	0	1	4	1	1	0	0	0	0	0	0	5	1	0	1	0	19	1	0	0	3	0	6	0	1	0	5	0	0
58	Aztreonam	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	2	1	0	0	9	0	5	1	2	0	2	1	0
59	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
60	Moxalactam	0	1	2	2	0	1	0	1	0	1	4	1	1	0	0	0	0	0	0	4	0	0	1	0	14	1	0	1	0	0	4	0	2	0	2	0	0
61	SCE-796	0	1	0	2	1	1	0	0	0	1	7	2	0	2	0	0	0	0	0	5	0	0	0	0	12	1	2	1	0	0	5	0	2	0	3	0	0
62	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
63	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
64	Cefoxitin	1	0	1	2	0	1	0	1	0	1	2	0	0	0	0	0	1	1	0	3	1	0	0	0	9	2	0	2	0	0	4	1	1	0	3	0	0
65	Nocardicin B	1	0	0	2	3	0	0	0	0	0	8	2	2	0	0	0	0	0	1	4	0	0	0	0	15	0	0	0	0	2	4	2	2	0	2	1	1
66	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
67	Cefamandole	0	0	1	2	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	3	0	0	1	0	14	1	0	0	0	0	3	0	1	0	2	0	0
68	SCE-796	0	1	0	2	1	1	0	0	0	1	7	2	0	2	0	0	0	0	0	5	0	0	0	0	12	1	2	1	0	0	5	0	2	0	3	0	0
69	Cephalexin	0	0	0	1	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	3	0	0	0	3	9	1	0	0	0	0	3	0	1	0	2	0	0
70	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
71	Cefamandole	0	0	1	2	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	3	0	0	1	0	14	1	0	0	0	0	3	0	1	0	2	0	0
72	Moxalactam	0	1	2	2	0	1	0	1	0	1	4	1	1	0	0	0	0	0	0	4	0	0	1	0	14	1	0	1	0	0	4	0	2	0	2	0	0
73	Nocardicin B	1	0	0	2	3	0	0	0	0	0	8	2	2	0	0	0	0	0	1	4	0	0	0	0	15	0	0	0	0	2	4	2	2	0	2	1	1
74	Cefoperazone	0	0	1	5	2	1	0	0	0	1	4	1	1	0	0	0	0	0	0	5	1	0	1	0	19	1	0	0	3	0	6	0	1	0	5	0	0
75	SCE-796	0	1	0	2	1	1	0	0	0	1	7	2	0	2	0	0	0	0	0	5	0	0	0	0	12	1	2	1	0	0	5	0	2	0	3	0	0
76	BL-S217	0	0	1	3	1	1	0	0	0	1	2	0	1	2	0	0	0	0	0	4	0	0	0	0	12	1	2	3	0	0	4	1	1	0	2	0	0
77	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
78	Cyclacillin	5	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	2	1	0	0	10	0	3	0	1	0	2	0	1
79	Cefoperazone	0	0	1	5	2	1	0	0	0	1	4	1	1	0	0	0	0	0	0	5	1	0	1	0	19	1	0	0	3	0	6	0	1	0	5	0	0
80	Moxalactam	0	1	2	2	0	1	0	1	0	1	4	1	1	0	0	0	0	0	0	4	0	0	1	0	14	1	0	1	0	0	4	0	2	0	2	0	0
81	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
82	Cefmetazole	0	0	2	4	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	14	1	0	0	0	0	3	0	1	0	2	1	0
83	Cefotaxime	0	0	1	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	4	0	0	1	0	8	2	0	3	0	0	4	2	1	0	2	1	0
84	Cefsulodin	0	0	0	2	2	1	0	0	0	1	7	2	0	2	0	0	0	0	0	4	0	0	0	0	13	1	2	0	0	0	6	0	2	0	3	0	0
85	Ofloxacin	0	0	1	5	1	0	0	0	0	0	1	1	4	0	0	0	0	0	1	1	0	0	0	0	15	1	0	0	3	0	2	1	1	0	0	0	1
86	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
87	Cephaloglycin	0	0	0	2	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	4	0	0	0	0	11	1	0	3	0	0	4	1	1	0	2	0	0
88	Cefoperazone	0	0	1	5	2	1	0	0	0	1	4	1	1	0	0	0	0	0	0	5	1	0	1	0	19	1	0	0	3	0	6	0	1	0	5	0	0
89	Cefaclor	0	0	0	1	2	1	0	0	0	2	5	1	0	0	0	0	0	0	0	3	0	0	0	0	9	1	0	0	0	0	3	0	1	0	2	0	0
90	Cefaclor	0	0	0	1	2	1	0	0	0	2	5	1	0	0	0	0	0	0	0	3	0	0	0	0	9	1	0	0	0	0	3	0	1	0	2	0	0
91	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
92	Cephaloridine	1	0	0	2	1	1	0	0	0	1	5	0	0	2	0	0	1	1	0	3	0	0	0	0	10	2	2	2	0	0	3	0	1	0	2	0	0
93	Cefsulodin	0	0	0	2	2	1	0	0	0	1	7	2	0	2	0	0	0	0	0	4	0	0	0	0	13	1	2	0	0	0	6	0	2	0	3	0	0
94	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
95	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
96	BL-S217	0	0	1	3	1	1	0	0	0	1	2	0	1	2	0	0	0	0	0	4	0	0	0	0	12	1	2	3	0	0	4	1	1	0	2	0	0
97	Cephalosporin C	3	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	2	6	1	1	2	2	0	5	1	2	0	2	0	1
98	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
99	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
100	Cefotaxime	0	0	1	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	4	0	0	1	0	8	2	0	3	0	0	4	2	1	0	2	1	0
101	Cyclacillin	5	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	2	1	0	0	10	0	3	0	1	0	2	0	1
102	Cefoperazone	0	0	1	5	2	1	0	0	0	1	4	1	1	0	0	0	0	0	0	5	1	0	1	0	19	1	0	0	3	0	6	0	1	0	5	0	0
103	Cefsulodin	0	0	0	2	2	1	0	0	0	1	7	2	0	2	0	0	0	0	0	4	0	0	0	0	13	1	2	0	0	0	6	0	2	0	3	0	0
104	Cefmetazole	0	0	2	4	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	14	1	0	0	0	0	3	0	1	0	2	1	0
105	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
106	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
107	Nocardicin B	1	0	0	2	3	0	0	0	0	0	8	2	2	0	0	0	0	0	1	4	0	0	0	0	15	0	0	0	0	2	4	2	2	0	2	1	1
108	Cephalexin	0	0	0	1	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	3	0	0	0	3	9	1	0	0	0	0	3	0	1	0	2	0	0
109	Moxalactam	0	1	2	2	0	1	0	1	0	1	4	1	1	0	0	0	0	0	0	4	0	0	1	0	14	1	0	1	0	0	4	0	2	0	2	0	0
110	SCE-796	0	1	0	2	1	1	0	0	0	1	7	2	0	2	0	0	0	0	0	5	0	0	0	0	12	1	2	1	0	0	5	0	2	0	3	0	0
111	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
112	Cyclacillin	5	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	2	1	0	0	10	0	3	0	1	0	2	0	1
113	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
114	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
115	Cefaclor	0	0	0	1	2	1	0	0	0	2	5	1	0	0	0	0	0	0	0	3	0	0	0	0	9	1	0	0	0	0	3	0	1	0	2	0	0
116	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
117	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
118	BL-S217	0	0	1	3	1	1	0	0	0	1	2	0	1	2	0	0	0	0	0	4	0	0	0	0	12	1	2	3	0	0	4	1	1	0	2	0	0
119	Ceftizoxime	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	3	0	0	1	0	7	2	0	0	0	0	3	1	1	0	2	1	0
120	Cyclacillin	5	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	2	1	0	0	10	0	3	0	1	0	2	0	1
121	Cephalexin	0	0	0	1	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	3	0	0	0	3	9	1	0	0	0	0	3	0	1	0	2	0	0
122	Nocardicin B	1	0	0	2	3	0	0	0	0	0	8	2	2	0	0	0	0	0	1	4	0	0	0	0	15	0	0	0	0	2	4	2	2	0	2	1	1
123	Cefamandole	0	0	1	2	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	3	0	0	1	0	14	1	0	0	0	0	3	0	1	0	2	0	0
124	Cefazolin	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	7	1	1	3	0	0	3	0	1	0	2	0	0
125	Cephalosporin C	3	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	2	6	1	1	2	2	0	5	1	2	0	2	0	1
126	Cefoxitin	1	0	1	2	0	1	0	1	0	1	2	0	0	0	0	0	1	1	0	3	1	0	0	0	9	2	0	2	0	0	4	1	1	0	3	0	0
127	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
128	Cyclacillin	5	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	2	1	0	0	10	0	3	0	1	0	2	0	1
129	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
130	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
131	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
132	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
133	Ampicillin	0	0	0	0	3	1	1	0	0	0	5	1	0	0	0	0	0	0	0	3	0	0	0	0	8	1	0	0	6	0	3	0	1	0	2	0	0
134	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
135	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
136	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
137	Cephalosporin C	3	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	2	6	1	1	2	2	0	5	1	2	0	2	0	1
138	Ceftizoxime	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	3	0	0	1	0	7	2	0	0	0	0	3	1	1	0	2	1	0
139	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
140	Cefazolin	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	7	1	1	3	0	0	3	0	1	0	2	0	0
141	Cephalosporin C	3	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	2	6	1	1	2	2	0	5	1	2	0	2	0	1
142	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
143	Cefacetrile	1	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	1	0	5	0	0	4	1	1	0	2	1	0
144	Nocardicin B	1	0	0	2	3	0	0	0	0	0	8	2	2	0	0	0	0	0	1	4	0	0	0	0	15	0	0	0	0	2	4	2	2	0	2	1	1
145	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
146	Aztreonam	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	2	1	0	0	9	0	5	1	2	0	2	1	0
147	Cefaclor	0	0	0	1	2	1	0	0	0	2	5	1	0	0	0	0	0	0	0	3	0	0	0	0	9	1	0	0	0	0	3	0	1	0	2	0	0
148	Aztreonam	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	2	1	0	0	9	0	5	1	2	0	2	1	0
149	LY097964	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	3	0	0	1	3	6	2	0	0	0	0	3	1	1	0	2	1	0
150	LY097964	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	3	0	0	1	3	6	2	0	0	0	0	3	1	1	0	2	1	0
151	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
152	Nocardicin B	1	0	0	2	3	0	0	0	0	0	8	2	2	0	0	0	0	0	1	4	0	0	0	0	15	0	0	0	0	2	4	2	2	0	2	1	1
153	Cefacetrile	1	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	1	0	5	0	0	4	1	1	0	2	1	0
154	Aztreonam	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	1	0	2	1	0	0	9	0	5	1	2	0	2	1	0
155	BL-S217	0	0	1	3	1	1	0	0	0	1	2	0	1	2	0	0	0	0	0	4	0	0	0	0	12	1	2	3	0	0	4	1	1	0	2	0	0
156	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
157	Cefuroxime	0	0	1	2	1	1	0	0	0	1	2	0	0	0	0	0	1	1	1	3	1	0	0	0	10	2	0	0	0	0	4	3	1	0	3	1	0
158	Cephaloglycin	0	0	0	2	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	4	0	0	0	0	11	1	0	3	0	0	4	1	1	0	2	0	0
159	Cefaclor	0	0	0	1	2	1	0	0	0	2	5	1	0	0	0	0	0	0	0	3	0	0	0	0	9	1	0	0	0	0	3	0	1	0	2	0	0
160	Cephaloglycin	0	0	0	2	2	1	0	0	0	1	5	1	0	0	0	0	0	0	0	4	0	0	0	0	11	1	0	3	0	0	4	1	1	0	2	0	0
161	Cyclacillin	5	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	2	1	0	0	10	0	3	0	1	0	2	0	1
162	Cephaloridine	1	0	0	2	1	1	0	0	0	1	5	0	0	2	0	0	1	1	0	3	0	0	0	0	10	2	2	2	0	0	3	0	1	0	2	0	0
163	Cefacetrile	1	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	1	0	5	0	0	4	1	1	0	2	1	0
164	Cephaloridine	1	0	0	2	1	1	0	0	0	1	5	0	0	2	0	0	1	1	0	3	0	0	0	0	10	2	2	2	0	0	3	0	1	0	2	0	0
