No.	NAME	nCp	nCs	nCt	nCrs	nCrt	nCar	nCb-	nCconj	nR=Cs	nR=Ct	nRCOOR	nArCONH2	nRCONR2	nROCON	nCONN	nArCNO	nRNH2	nArNH2	nArNR2	nN+	nNq	nROH	nArOH	nOHs	nROR	nArOR	nRSR	nSO3	nFuranes	nThiophenes	nPyridines	nHBonds
46	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
47	Cefmetazole	0	1	0	1	0	1	0	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0
48	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1
49	Cefoperazone	1	2	0	1	0	7	2	5	1	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1
50	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
51	Ofloxacin	1	1	0	1	0	6	5	4	0	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0
52	Nocardicin B	0	4	0	1	0	12	4	2	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	2
53	SCE-796	0	1	1	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
54	Cefsulodin	0	2	0	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0
55	SCE-796	0	1	1	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
56	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1
57	Cefoperazone	1	2	0	1	0	7	2	5	1	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1
58	Aztreonam	3	2	1	2	0	3	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
59	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
60	Moxalactam	0	1	1	1	0	7	2	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1
61	SCE-796	0	1	1	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
62	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
63	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
64	Cefoxitin	0	2	0	1	0	4	0	3	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
65	Nocardicin B	0	4	0	1	0	12	4	2	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	2
66	Cefuroxime	0	1	0	1	0	4	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
67	Cefamandole	0	2	0	1	0	7	1	3	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0
68	SCE-796	0	1	1	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
69	Cephalexin	1	2	0	1	0	6	1	3	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
70	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
71	Cefamandole	0	2	0	1	0	7	1	3	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0
72	Moxalactam	0	1	1	1	0	7	2	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1
73	Nocardicin B	0	4	0	1	0	12	4	2	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	1
74	Cefoperazone	1	2	0	1	0	7	2	5	1	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2
75	SCE-796	0	1	1	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
76	BL-S217	1	1	0	1	0	5	0	3	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0
77	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
78	Cyclacillin	2	7	2	7	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2
79	Cefoperazone	1	2	0	1	0	7	2	5	1	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2
80	Moxalactam	0	1	1	1	0	7	2	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1
81	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
82	Cefmetazole	0	1	0	1	0	1	0	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0
83	Cefotaxime	1	1	0	1	0	3	0	5	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
84	Cefsulodin	0	2	0	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0
85	Ofloxacin	1	1	0	1	0	6	5	4	0	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0
86	Cefuroxime	0	1	0	1	0	4	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
87	Cephaloglycin	1	2	0	1	0	6	1	3	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
88	Cefoperazone	1	2	0	1	0	7	2	5	1	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2
89	Cefaclor	0	2	0	1	0	6	1	3	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
90	Cefaclor	0	2	0	1	0	6	1	3	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
91	Cefuroxime	0	1	0	1	0	4	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
92	Cephaloridine	0	2	0	1	0	9	0	3	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0
93	Cefsulodin	0	2	0	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0
94	Cefuroxime	0	1	0	1	0	4	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
95	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
96	BL-S217	1	1	0	1	0	5	0	3	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0
97	Cephalosporin C	0	5	0	1	0	0	0	3	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
98	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0
99	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
100	Cefotaxime	1	1	0	1	0	3	0	5	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
101	Cyclacillin	2	7	2	7	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2
102	Cefoperazone	1	2	0	1	0	7	2	5	1	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2
103	Cefsulodin	0	2	0	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0
104	Cefmetazole	0	1	0	1	0	1	0	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0
105	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1
106	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
107	Nocardicin B	0	4	0	1	0	12	4	2	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	1
108	Cephalexin	1	2	0	1	0	6	1	3	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
109	Moxalactam	0	1	1	1	0	7	2	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1
110	SCE-796	0	1	1	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
111	Cefuroxime	0	1	0	1	0	4	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
112	Cyclacillin	2	7	2	7	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1
113	Cefuroxime	0	1	0	1	0	4	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
114	Cefuroxime	0	1	0	1	0	4	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
115	Cefaclor	0	2	0	1	0	6	1	3	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
116	Ceftriaxone	0	1	0	1	0	3	0	8	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1
117	Cefuroxime	0	1	0	1	0	4	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
118	BL-S217	1	1	0	1	0	5	0	3	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0
119	Ceftizoxime	0	1	0	1	0	3	0	5	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
120	Cyclacillin	2	7	2	7	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2
121	Cephalexin	1	2	0	1	0	6	1	3	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
122	Nocardicin B	0	4	0	1	0	12	4	2	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	2
123	Cefamandole	0	2	0	1	0	7	1	3	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0
124	Cefazolin	1	1	0	1	0	3	0	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
125	Cephalosporin C	0	5	0	1	0	0	0	3	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1
126	Cefoxitin	0	2	0	1	0	4	0	3	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
127	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1
128	Cyclacillin	2	7	2	7	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2
129	Ceftriaxone	0	1	0	1	0	3	0	8	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
130	Cefuroxime	0	1	0	1	0	4	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
131	Cefuroxime	0	1	0	1	0	4	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
132	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
133	Ampicillin	2	3	1	2	1	6	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
134	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1
135	Cefuroxime	0	1	0	1	0	4	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
136	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
137	Cephalosporin C	0	5	0	1	0	0	0	3	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1
138	Ceftizoxime	0	1	0	1	0	3	0	5	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	Ceftriaxone	0	1	0	1	0	3	0	8	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
140	Cefazolin	1	1	0	1	0	3	0	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
141	Cephalosporin C	0	5	0	1	0	0	0	3	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1
142	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
143	Cefacetrile	1	2	0	1	0	0	0	3	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
144	Nocardicin B	0	4	0	1	0	12	4	2	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	3
145	Cefuroxime	0	1	0	1	0	4	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
146	Aztreonam	3	2	1	2	0	3	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
147	Cefaclor	0	2	0	1	0	6	1	3	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
148	Aztreonam	3	2	1	2	0	3	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
149	LY097964	1	1	0	1	0	3	0	5	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
150	LY097964	1	1	0	1	0	3	0	5	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0
152	Nocardicin B	0	4	0	1	0	12	4	2	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	1
153	Cefacetrile	1	2	0	1	0	0	0	3	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
154	Aztreonam	3	2	1	2	0	3	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
155	BL-S217	1	1	0	1	0	5	0	3	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0
156	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1
157	Cefuroxime	0	1	0	1	0	4	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
158	Cephaloglycin	1	2	0	1	0	6	1	3	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
159	Cefaclor	0	2	0	1	0	6	1	3	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
160	Cephaloglycin	1	2	0	1	0	6	1	3	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
161	Cyclacillin	2	7	2	7	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
162	Cephaloridine	0	2	0	1	0	9	0	3	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0
163	Cefacetrile	1	2	0	1	0	0	0	3	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
164	Cephaloridine	0	2	0	1	0	9	0	3	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0
165	Nocardicin B	0	4	0	1	0	12	4	2	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	1
166	SCE-796	0	1	1	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
167	Cephalosporin C	0	5	0	1	0	0	0	3	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
168	Cefacetrile	1	2	0	1	0	0	0	3	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
169	Cefuroxime	0	1	0	1	0	4	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
170	Cyclacillin	2	7	2	7	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1
171	Cephaloridine	0	2	0	1	0	9	0	3	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0
172	Cefuroxime	0	1	0	1	0	4	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
173	Cefotaxime	1	1	0	1	0	3	0	5	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
174	Aztreonam	3	2	1	2	0	3	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
175	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1
176	Moxalactam	0	1	1	1	0	7	2	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0
177	Ceftriaxone	0	1	0	1	0	3	0	8	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
178	Cefuroxime	0	1	0	1	0	4	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
179	Cyclacillin	2	7	2	7	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2
180	Ofloxacin	1	1	0	1	0	6	5	4	0	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0
181	Ceftizoxime	0	1	0	1	0	3	0	5	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
182	SCE-796	0	1	1	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
183	Penicillin N	2	6	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1
184	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1
185	Cefazolin	1	1	0	1	0	3	0	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
