No.	NAME	WHALES00_Rem	WHALES10_Rem	WHALES20_Rem	WHALES30_Rem	WHALES40_Rem	WHALES50_Rem	WHALES60_Rem	WHALES70_Rem	WHALES80_Rem	WHALES90_Rem	WHALES100_Rem	WHALES00_Isol	WHALES10_Isol	WHALES20_Isol	WHALES30_Isol	WHALES40_Isol	WHALES50_Isol	WHALES60_Isol	WHALES70_Isol	WHALES80_Isol	WHALES90_Isol	WHALES100_Isol	WHALES00_IR	WHALES10_IR	WHALES20_IR	WHALES30_IR	WHALES40_IR	WHALES50_IR	WHALES70_IR	WHALES80_IR	WHALES90_IR	WHALES100_IR
15	Cefsulodin	-2.926	-1.606	-1.206	-1.063	-0.895	-0.518	0.586	0.727	0.862	1.062	1.231	-0.234	-0.195	-0.169	-0.135	-0.104	-0.086	0.105	0.119	0.123	0.16	0.237	-0.52	-0.207	-0.159	-0.11	-0.078	-0.044	0.12	0.147	0.243	0.708
16	Imipenem	-2.265	-1.797	-1.243	-0.964	-0.613	0.507	0.703	0.815	1.141	1.169	1.739	-0.351	-0.182	-0.11	-0.071	-0.06	0.044	0.078	0.114	0.122	0.247	0.322	-0.367	-0.263	-0.077	-0.058	-0.034	0.038	0.104	0.181	0.305	0.725
17	Ceftazidime	-2.523	-1.82	-1.104	-0.994	-0.543	0.325	0.55	0.836	0.992	1.409	3.299	-0.272	-0.148	-0.124	-0.091	-0.045	0.019	0.053	0.079	0.106	0.127	0.173	-0.285	-0.172	-0.127	-0.074	-0.035	0.016	0.083	0.109	0.199	0.403
18	Cefsulodin	-2.796	-1.779	-1.249	-0.971	-0.878	-0.602	0.577	0.745	0.88	1.114	1.691	-0.24	-0.216	-0.169	-0.124	-0.11	-0.086	0.103	0.13	0.148	0.192	0.262	-0.412	-0.206	-0.139	-0.134	-0.081	-0.038	0.13	0.168	0.318	0.665
19	Cefsulodin	-2.743	-1.72	-1.31	-1.049	-0.897	-0.481	0.587	0.76	0.838	1.102	1.206	-0.25	-0.208	-0.193	-0.13	-0.104	-0.07	0.099	0.124	0.138	0.189	0.237	-0.73	-0.213	-0.149	-0.111	-0.074	-0.04	0.125	0.164	0.254	0.656
20	Nocardicin B	-2.093	-1.16	-1.097	-0.953	-0.719	-0.623	-0.289	0.578	0.664	0.868	1.532	-0.152	-0.114	-0.067	-0.052	-0.045	-0.032	-0.017	0.037	0.056	0.086	0.182	-0.39	-0.135	-0.099	-0.064	-0.045	-0.027	0.033	0.074	0.142	0.352
21	Imipenem	-2.369	-1.394	-0.967	-0.756	-0.495	0.266	0.415	0.571	0.76	1.172	3.173	-0.353	-0.151	-0.089	-0.045	-0.032	0.049	0.082	0.114	0.126	0.162	0.303	-0.275	-0.161	-0.102	-0.048	-0.032	0.045	0.138	0.188	0.327	0.668
22	Imipenem	-2.683	-1.829	-1.269	-0.913	-0.432	0.393	0.59	0.782	1.055	1.296	1.374	-0.4	-0.174	-0.136	-0.102	-0.067	0.051	0.077	0.135	0.188	0.227	0.253	-0.39	-0.22	-0.118	-0.074	-0.046	0.077	0.121	0.147	0.286	0.502
23	Imipenem	-2.893	-1.365	-1.131	-1.062	-0.496	0.313	0.594	0.635	0.967	1.595	3.425	-0.363	-0.17	-0.133	-0.09	-0.067	0.098	0.106	0.127	0.137	0.173	0.218	-0.434	-0.137	-0.112	-0.102	-0.055	0.063	0.143	0.176	0.297	0.467
24	Imipenem	-2.394	-1.911	-1.258	-0.874	-0.465	0.382	0.626	0.745	1.13	1.235	1.268	-0.404	-0.17	-0.137	-0.114	-0.08	0.063	0.096	0.141	0.195	0.224	0.232	-0.43	-0.224	-0.116	-0.082	-0.049	0.099	0.143	0.158	0.224	0.651
25	Imipenem	-2.051	-1.713	-1.301	-0.924	-0.508	0.413	0.63	0.941	1.071	1.333	1.812	-0.328	-0.229	-0.208	-0.146	-0.09	0.079	0.116	0.142	0.173	0.275	0.306	-0.315	-0.21	-0.182	-0.144	-0.065	0.08	0.157	0.181	0.3	0.54
26	Cyclacillin	-3.594	-2.325	-2.157	-1.37	-1.09	-0.649	0.485	0.627	0.791	1.414	2.116	-0.275	-0.247	-0.179	-0.173	-0.145	-0.043	0.031	0.05	0.104	0.142	0.3	-0.472	-0.238	-0.185	-0.108	-0.056	-0.022	0.059	0.117	0.142	0.544
27	Imipenem	-2.128	-1.831	-1.295	-0.932	-0.497	0.369	0.552	0.687	0.935	1.205	1.429	-0.255	-0.204	-0.141	-0.112	-0.064	0.042	0.053	0.103	0.144	0.197	0.308	-0.231	-0.179	-0.159	-0.092	-0.05	0.053	0.112	0.15	0.282	0.651
28	Ceftazidime	-2.096	-1.72	-1.132	-0.904	-0.62	0.38	0.668	0.732	1.078	1.348	2.062	-0.19	-0.131	-0.096	-0.071	-0.045	0.025	0.054	0.072	0.103	0.114	0.167	-0.387	-0.224	-0.098	-0.055	-0.029	0.012	0.091	0.129	0.159	0.381
29	Ceftazidime	-1.951	-1.47	-1.093	-0.953	-0.573	0.415	0.66	0.753	0.973	1.221	1.784	-0.181	-0.148	-0.091	-0.077	-0.053	0.018	0.036	0.059	0.083	0.108	0.159	-0.311	-0.189	-0.087	-0.072	-0.033	0.014	0.056	0.12	0.149	0.384
30	Cefoperazone	-2.737	-1.968	-1.399	-0.951	-0.758	-0.592	0.303	0.565	0.781	1.224	1.926	-0.117	-0.089	-0.056	-0.046	-0.034	-0.021	0.009	0.039	0.054	0.074	0.123	-0.191	-0.111	-0.069	-0.047	-0.025	-0.011	0.037	0.065	0.108	0.162
31	Ceftazidime	-2.762	-1.641	-1.163	-0.842	-0.568	0.419	0.683	0.861	1.134	1.449	1.75	-0.342	-0.151	-0.096	-0.067	-0.051	0.031	0.069	0.087	0.098	0.124	0.172	-0.6	-0.197	-0.083	-0.069	-0.031	0.024	0.078	0.096	0.125	0.323
32	Cefoperazone	-2.718	-1.9	-1.308	-0.975	-0.788	-0.621	0.296	0.635	0.946	1.4	2.21	-0.202	-0.105	-0.083	-0.073	-0.055	-0.04	0.009	0.045	0.064	0.094	0.171	-0.64	-0.137	-0.093	-0.066	-0.044	-0.018	0.044	0.078	0.128	0.185
33	Ceftazidime	-2.215	-1.583	-1.082	-0.795	-0.633	0.416	0.611	0.756	1.078	1.238	1.824	-0.254	-0.142	-0.09	-0.063	-0.054	0.039	0.074	0.081	0.098	0.113	0.158	-0.316	-0.168	-0.113	-0.07	-0.05	0.025	0.084	0.117	0.154	0.255
34	Imipenem	-1.686	-1.621	-1.222	-0.999	-0.494	0.457	0.63	0.854	1.162	1.275	2.054	-0.399	-0.276	-0.12	-0.087	-0.071	0.057	0.095	0.128	0.156	0.181	0.276	-0.283	-0.261	-0.15	-0.088	-0.049	0.075	0.128	0.158	0.23	0.392
35	Cefoperazone	-2.458	-1.937	-1.493	-1.011	-0.788	-0.655	0.28	0.613	0.762	1.134	1.859	-0.418	-0.078	-0.058	-0.053	-0.047	-0.036	0.013	0.047	0.053	0.074	0.125	-0.353	-0.092	-0.077	-0.052	-0.041	-0.02	0.048	0.07	0.105	0.143
36	Ceftazidime	-2.025	-1.58	-1.131	-0.888	-0.601	0.409	0.643	0.824	1.075	1.25	1.827	-0.256	-0.146	-0.094	-0.073	-0.057	0.024	0.056	0.081	0.105	0.119	0.158	-0.279	-0.166	-0.113	-0.07	-0.045	0.015	0.081	0.099	0.165	0.257
37	Ceftriaxone	-2.373	-1.551	-1.215	-1.14	-0.945	-0.558	0.589	0.768	0.907	1.25	2.399	-0.206	-0.137	-0.116	-0.086	-0.073	-0.038	0.029	0.076	0.087	0.101	0.139	-0.318	-0.145	-0.105	-0.078	-0.065	-0.027	0.051	0.102	0.145	0.202
38	Ceftazidime	-2.384	-1.363	-1.16	-0.951	-0.701	0.413	0.569	0.829	0.905	1.21	2.092	-0.185	-0.154	-0.125	-0.096	-0.06	0.032	0.064	0.073	0.091	0.128	0.187	-0.265	-0.145	-0.106	-0.087	-0.048	0.027	0.078	0.105	0.211	0.325
39	Cefsulodin	-3.848	-1.861	-1.229	-1.075	-0.949	-0.419	0.456	0.761	0.891	0.962	1.296	-0.313	-0.173	-0.163	-0.136	-0.109	-0.05	0.063	0.087	0.094	0.117	0.259	-0.472	-0.164	-0.14	-0.111	-0.053	-0.026	0.093	0.11	0.125	1.021
40	Ceftazidime	-2.591	-1.66	-1.212	-0.915	-0.563	0.356	0.555	0.911	1.059	1.27	2.131	-0.207	-0.147	-0.127	-0.094	-0.084	0.051	0.068	0.093	0.105	0.137	0.157	-0.322	-0.18	-0.112	-0.083	-0.059	0.024	0.085	0.119	0.214	0.369
41	Nocardicin B	-1.797	-1.378	-1.158	-0.995	-0.887	-0.594	-0.338	0.542	0.632	0.934	1.455	-0.168	-0.101	-0.088	-0.073	-0.058	-0.045	-0.027	0.049	0.077	0.092	0.169	-0.283	-0.158	-0.117	-0.067	-0.059	-0.035	0.056	0.089	0.151	0.342
42	Cyclacillin	-2.695	-2.308	-2.082	-1.527	-1.183	-0.501	0.389	0.586	0.782	1.211	2.134	-0.441	-0.3	-0.242	-0.203	-0.167	-0.139	0.063	0.167	0.248	0.333	0.345	-0.53	-0.202	-0.175	-0.141	-0.124	-0.072	0.135	0.316	0.394	0.955
43	Cefuroxime	-2.736	-1.255	-1.125	-0.959	-0.835	-0.551	0.577	0.741	0.924	1.09	2.082	-0.245	-0.204	-0.146	-0.104	-0.057	-0.018	0.034	0.092	0.101	0.141	0.177	-0.269	-0.19	-0.152	-0.115	-0.033	-0.016	0.084	0.108	0.16	0.318
44	Cefuroxime	-3.064	-1.673	-1.134	-0.984	-0.882	-0.614	0.621	0.873	1.004	1.254	2.232	-0.27	-0.193	-0.113	-0.067	-0.055	-0.024	0.058	0.089	0.101	0.119	0.201	-0.272	-0.219	-0.145	-0.054	-0.028	-0.02	0.085	0.105	0.136	0.379
45	Cefuroxime	-3.126	-1.453	-1.072	-0.944	-0.844	-0.605	0.604	0.785	0.991	1.232	2.289	-0.255	-0.196	-0.099	-0.062	-0.048	-0.022	0.052	0.076	0.093	0.119	0.183	-0.298	-0.215	-0.138	-0.048	-0.032	-0.02	0.088	0.102	0.121	0.377
46	Imipenem	-1.649	-1.6	-1.261	-0.999	-0.469	0.431	0.599	0.795	1.155	1.268	2.209	-0.352	-0.307	-0.116	-0.092	-0.074	0.057	0.1	0.125	0.15	0.196	0.246	-0.315	-0.25	-0.153	-0.092	-0.05	0.076	0.137	0.17	0.213	0.387
47	Cefmetazole	-2.868	-1.853	-1.307	-1.016	-0.629	-0.342	0.405	0.636	0.966	2.01	2.869	-0.377	-0.152	-0.121	-0.108	-0.087	-0.072	0.076	0.088	0.117	0.149	0.158	-0.263	-0.182	-0.127	-0.101	-0.074	-0.038	0.082	0.122	0.228	0.285
48	Ceftazidime	-3.37	-1.682	-1.032	-0.918	-0.74	0.341	0.538	0.871	1.194	1.337	2.096	-0.164	-0.137	-0.119	-0.095	-0.061	0.058	0.071	0.094	0.127	0.148	0.203	-0.279	-0.162	-0.094	-0.074	-0.043	0.037	0.094	0.117	0.206	0.597
49	Cefoperazone	-2.43	-1.926	-1.312	-0.942	-0.795	-0.63	0.3	0.632	0.959	1.345	2.143	-0.143	-0.107	-0.086	-0.066	-0.047	-0.032	0.023	0.043	0.071	0.096	0.153	-0.474	-0.142	-0.097	-0.065	-0.036	-0.015	0.041	0.091	0.114	0.173
50	Imipenem	-2.169	-1.466	-1.342	-0.712	-0.5	0.379	0.528	0.771	1.137	1.226	2.57	-0.216	-0.207	-0.168	-0.102	-0.064	0.066	0.085	0.091	0.126	0.181	0.299	-0.198	-0.16	-0.142	-0.126	-0.072	0.048	0.114	0.258	0.277	0.439
51	Ofloxacin	-2.503	-1.411	-1.001	-0.666	0.302	0.403	0.585	0.739	1.457	1.686	2.936	-0.372	-0.085	-0.069	-0.061	0.038	0.067	0.082	0.103	0.146	0.173	0.253	-0.268	-0.136	-0.066	-0.041	0.05	0.062	0.122	0.154	0.271	0.331
52	Nocardicin B	-2.09	-1.334	-1.148	-1.009	-0.823	-0.526	-0.417	0.514	0.626	0.769	1.446	-0.161	-0.094	-0.082	-0.063	-0.054	-0.031	-0.018	0.042	0.064	0.077	0.123	-0.386	-0.152	-0.096	-0.063	-0.058	-0.021	0.061	0.089	0.13	0.274
53	SCE-796	-2.267	-1.679	-1.176	-0.965	-0.691	-0.385	0.615	0.813	0.899	1.076	1.773	-0.231	-0.163	-0.102	-0.068	-0.054	-0.02	0.069	0.085	0.102	0.118	0.154	-0.6	-0.163	-0.102	-0.062	-0.038	-0.018	0.096	0.104	0.132	0.266
54	Cefsulodin	-2.844	-1.737	-1.245	-1.096	-0.835	-0.417	0.604	0.694	0.781	1.029	1.355	-0.302	-0.212	-0.152	-0.119	-0.081	-0.066	0.081	0.099	0.107	0.128	0.229	-0.524	-0.219	-0.122	-0.104	-0.062	-0.041	0.099	0.146	0.189	0.569
55	SCE-796	-3.055	-1.697	-1.224	-1.066	-0.871	-0.313	0.638	0.726	0.817	1.136	1.615	-0.276	-0.185	-0.152	-0.128	-0.102	-0.086	0.111	0.119	0.128	0.144	0.223	-0.501	-0.175	-0.117	-0.104	-0.082	-0.046	0.128	0.181	0.193	0.646
56	Ceftazidime	-2.179	-1.487	-1.158	-0.772	-0.637	0.403	0.609	0.853	1.026	1.331	1.554	-0.185	-0.102	-0.083	-0.064	-0.05	0.034	0.066	0.082	0.093	0.101	0.155	-0.332	-0.108	-0.088	-0.067	-0.04	0.044	0.067	0.113	0.144	0.385
57	Cefoperazone	-2.551	-2.013	-1.293	-1.019	-0.765	-0.608	0.296	0.663	0.975	1.32	2.105	-0.192	-0.087	-0.076	-0.069	-0.048	-0.036	0.01	0.045	0.066	0.086	0.119	-0.755	-0.135	-0.084	-0.058	-0.033	-0.018	0.045	0.08	0.109	0.213
58	Aztreonam	-2.677	-1.793	-1.482	-1.081	-0.866	-0.645	-0.348	0.504	0.847	1.208	1.406	-0.269	-0.2	-0.177	-0.144	-0.063	-0.043	-0.02	0.059	0.074	0.146	0.184	-0.487	-0.215	-0.167	-0.081	-0.058	-0.044	0.051	0.095	0.246	0.304
59	Imipenem	-1.968	-1.552	-1.089	-0.792	-0.582	0.273	0.437	0.577	0.768	1.27	2.765	-0.22	-0.167	-0.097	-0.064	-0.053	0.071	0.103	0.14	0.146	0.181	0.31	-0.216	-0.155	-0.093	-0.067	-0.047	0.072	0.186	0.23	0.358	0.711
60	Moxalactam	-2.188	-1.633	-1.312	-1.05	-0.795	-0.643	-0.313	0.49	0.678	1.379	2.957	-0.127	-0.115	-0.098	-0.076	-0.067	-0.057	-0.015	0.043	0.081	0.1	0.149	-0.392	-0.151	-0.107	-0.069	-0.055	-0.039	0.032	0.056	0.182	0.351
61	SCE-796	-1.855	-1.528	-1.246	-0.948	-0.7	-0.399	0.597	0.726	0.889	1.114	1.621	-0.277	-0.115	-0.093	-0.07	-0.041	-0.023	0.06	0.076	0.086	0.11	0.13	-0.694	-0.15	-0.079	-0.064	-0.026	-0.017	0.08	0.092	0.153	0.244
62	Imipenem	-1.615	-1.58	-1.295	-0.971	-0.49	0.416	0.608	0.835	1.23	1.415	2.485	-0.394	-0.221	-0.13	-0.098	-0.084	0.065	0.111	0.117	0.147	0.185	0.313	-0.34	-0.216	-0.15	-0.116	-0.057	0.073	0.114	0.17	0.216	0.4
63	Imipenem	-1.734	-1.625	-1.231	-0.94	-0.475	0.449	0.623	0.832	1.16	1.246	2.049	-0.405	-0.279	-0.107	-0.084	-0.063	0.052	0.084	0.127	0.153	0.178	0.229	-0.353	-0.256	-0.131	-0.08	-0.047	0.067	0.129	0.152	0.206	0.407
64	Cefoxitin	-5.055	-2.941	-1.268	-1.123	-0.981	-0.465	0.547	0.615	0.786	1.127	2.172	-0.239	-0.218	-0.15	-0.125	-0.116	-0.091	0.094	0.125	0.137	0.163	0.295	-0.444	-0.223	-0.109	-0.082	-0.079	-0.036	0.152	0.217	0.247	0.452
65	Nocardicin B	-1.99	-1.515	-1.213	-0.974	-0.67	-0.542	-0.356	0.34	0.791	1.004	1.614	-0.259	-0.131	-0.084	-0.065	-0.05	-0.043	-0.022	0.065	0.075	0.107	0.149	-0.428	-0.227	-0.11	-0.069	-0.048	-0.036	0.06	0.109	0.172	0.435
66	Cefuroxime	-3.409	-1.56	-1.294	-1.042	-0.865	-0.388	0.498	0.719	0.884	1.135	2.963	-0.215	-0.158	-0.112	-0.093	-0.054	-0.043	0.072	0.093	0.115	0.148	0.171	-0.468	-0.147	-0.082	-0.056	-0.046	-0.04	0.097	0.133	0.175	0.577
67	Cefamandole	-2.212	-1.781	-1.471	-1.336	-1.145	-1.008	-0.429	0.487	0.717	1.02	2.987	-0.258	-0.217	-0.161	-0.139	-0.124	-0.099	-0.055	0.114	0.125	0.147	0.224	-0.655	-0.189	-0.14	-0.113	-0.081	-0.063	0.06	0.148	0.189	0.651
68	SCE-796	-3.578	-1.814	-1.275	-1.018	-0.859	-0.307	0.597	0.662	0.801	1.09	1.321	-0.178	-0.153	-0.136	-0.122	-0.072	-0.008	0.081	0.094	0.105	0.117	0.206	-0.579	-0.142	-0.124	-0.079	-0.043	-0.01	0.114	0.139	0.194	0.728
69	Cephalexin	-2.633	-2.358	-2.016	-1.513	-1.244	-0.896	-0.507	0.311	0.559	0.849	2.788	-0.308	-0.255	-0.222	-0.187	-0.165	-0.12	-0.072	0.074	0.124	0.215	0.324	-0.555	-0.244	-0.169	-0.123	-0.107	-0.076	0.044	0.172	0.328	1.078
70	Imipenem	-2.242	-1.525	-1.048	-0.77	-0.525	0.268	0.424	0.57	0.774	1.18	2.865	-0.325	-0.162	-0.074	-0.057	-0.035	0.055	0.089	0.122	0.145	0.164	0.28	-0.215	-0.155	-0.102	-0.047	-0.037	0.051	0.162	0.216	0.364	0.673
71	Cefamandole	-2.233	-1.601	-1.538	-1.452	-1.147	-0.807	-0.422	0.421	0.717	1.057	2.77	-0.331	-0.163	-0.135	-0.122	-0.101	-0.074	-0.05	0.051	0.083	0.14	0.218	-0.386	-0.184	-0.122	-0.094	-0.079	-0.056	0.03	0.108	0.163	0.518
72	Moxalactam	-2.482	-1.804	-1.337	-1.072	-0.92	-0.626	-0.31	0.478	0.728	1.115	3.599	-0.188	-0.108	-0.092	-0.074	-0.063	-0.034	-0.008	0.046	0.068	0.106	0.15	-0.311	-0.163	-0.094	-0.074	-0.059	-0.018	0.046	0.085	0.186	0.279
73	Nocardicin B	-2.177	-1.464	-1.229	-1.077	-0.79	-0.627	-0.35	0.5	0.677	0.999	1.531	-0.156	-0.09	-0.068	-0.065	-0.056	-0.042	-0.023	0.044	0.076	0.092	0.118	-0.197	-0.139	-0.1	-0.056	-0.044	-0.035	0.048	0.077	0.17	0.333
74	Cefoperazone	-2.582	-1.884	-1.338	-1.046	-0.729	-0.602	0.318	0.64	0.82	1.194	2.181	-0.128	-0.104	-0.068	-0.058	-0.043	-0.025	0.022	0.05	0.07	0.082	0.11	-0.191	-0.155	-0.082	-0.06	-0.033	-0.013	0.053	0.078	0.122	0.158
75	SCE-796	-4.416	-2.021	-1.331	-1.153	-0.891	-0.276	0.582	0.668	0.788	1.001	1.258	-0.266	-0.206	-0.132	-0.09	-0.066	-0.039	0.066	0.081	0.112	0.125	0.148	-0.581	-0.166	-0.089	-0.074	-0.044	-0.022	0.117	0.145	0.192	0.518
76	BL-S217	-1.85	-1.132	-1.002	-0.864	0.334	0.632	0.766	0.919	1.158	1.413	2.742	-0.257	-0.124	-0.081	-0.054	0.04	0.056	0.067	0.089	0.103	0.119	0.142	-0.262	-0.117	-0.095	-0.036	0.026	0.047	0.08	0.118	0.179	0.344
77	Imipenem	-2.553	-1.932	-1.243	-0.893	-0.413	0.401	0.6	0.829	1.087	1.244	1.462	-0.356	-0.185	-0.12	-0.093	-0.059	0.053	0.073	0.131	0.168	0.247	0.268	-0.402	-0.215	-0.114	-0.072	-0.039	0.073	0.117	0.157	0.276	0.419
78	Cyclacillin	-2.263	-2.205	-2.009	-1.423	-1.198	-0.549	0.374	0.605	0.799	1.069	1.658	-0.374	-0.241	-0.204	-0.169	-0.158	-0.138	0.069	0.135	0.198	0.27	0.345	-0.425	-0.218	-0.184	-0.139	-0.081	-0.069	0.119	0.213	0.395	1.034
79	Cefoperazone	-2.746	-1.94	-1.387	-1.013	-0.756	-0.578	0.31	0.572	0.787	1.239	2.444	-0.144	-0.084	-0.066	-0.05	-0.039	-0.03	0.018	0.041	0.057	0.08	0.123	-0.184	-0.106	-0.08	-0.062	-0.032	-0.014	0.043	0.062	0.126	0.204
80	Moxalactam	-2.551	-1.864	-1.218	-1.057	-0.897	-0.63	-0.303	0.48	0.736	1.113	3.503	-0.195	-0.108	-0.087	-0.072	-0.057	-0.035	-0.011	0.049	0.066	0.101	0.155	-0.324	-0.168	-0.094	-0.072	-0.061	-0.018	0.042	0.098	0.184	0.332
81	Imipenem	-2.497	-1.919	-1.211	-0.893	-0.414	0.409	0.615	0.846	1.106	1.239	1.549	-0.338	-0.186	-0.117	-0.089	-0.065	0.057	0.086	0.129	0.161	0.22	0.269	-0.385	-0.206	-0.111	-0.07	-0.042	0.085	0.116	0.159	0.277	0.384
82	Cefmetazole	-2.339	-1.718	-1.507	-0.98	-0.839	-0.361	0.449	0.635	0.969	1.994	2.844	-0.217	-0.184	-0.163	-0.104	-0.087	-0.062	0.087	0.11	0.139	0.145	0.291	-0.409	-0.191	-0.123	-0.11	-0.092	-0.036	0.121	0.15	0.231	0.301
83	Cefotaxime	-1.829	-1.44	-1.137	-0.83	-0.59	0.381	0.638	0.738	0.95	1.29	3.207	-0.333	-0.142	-0.103	-0.077	-0.063	0.033	0.053	0.084	0.088	0.107	0.218	-0.4	-0.209	-0.105	-0.068	-0.046	0.02	0.083	0.104	0.144	0.598
84	Cefsulodin	-3.589	-2.047	-1.367	-1.107	-0.881	-0.385	0.562	0.723	0.805	1.105	1.318	-0.269	-0.174	-0.148	-0.12	-0.088	-0.064	0.066	0.096	0.119	0.128	0.224	-0.773	-0.159	-0.123	-0.099	-0.049	-0.032	0.108	0.14	0.219	0.348
85	Ofloxacin	-3.096	-1.229	-0.861	-0.672	0.308	0.394	0.482	0.746	1.721	2.459	4.404	-0.164	-0.11	-0.076	-0.053	0.013	0.054	0.058	0.067	0.075	0.104	0.155	-0.191	-0.126	-0.079	-0.032	0.008	0.021	0.1	0.14	0.187	0.387
86	Cefuroxime	-1.997	-1.698	-1.186	-0.994	-0.734	-0.551	0.43	0.675	0.871	1.089	3.139	-0.162	-0.131	-0.102	-0.087	-0.078	-0.051	0.051	0.069	0.078	0.103	0.184	-0.279	-0.13	-0.104	-0.073	-0.058	-0.043	0.07	0.107	0.135	0.462
