No.	NAME	CATS2D_02_DD	CATS2D_03_DD	CATS2D_04_DD	CATS2D_06_DD	CATS2D_07_DD	CATS2D_09_DD	CATS2D_02_DA	CATS2D_03_DA	CATS2D_04_DA	CATS2D_05_DA	CATS2D_06_DA	CATS2D_07_DA	CATS2D_08_DA	CATS2D_09_DA	CATS2D_00_DP	CATS2D_03_DP	CATS2D_06_DP	CATS2D_04_DN	CATS2D_05_DN	CATS2D_06_DN	CATS2D_07_DN	CATS2D_09_DN	CATS2D_02_DL	CATS2D_03_DL	CATS2D_04_DL	CATS2D_05_DL	CATS2D_06_DL	CATS2D_07_DL	CATS2D_08_DL	CATS2D_09_DL	CATS2D_02_AA	CATS2D_03_AA	CATS2D_04_AA	CATS2D_05_AA	CATS2D_06_AA	CATS2D_07_AA	CATS2D_08_AA	CATS2D_09_AA	CATS2D_02_AP	CATS2D_03_AP	CATS2D_04_AP	CATS2D_05_AP	CATS2D_06_AP	CATS2D_07_AP	CATS2D_08_AP	CATS2D_09_AP	CATS2D_02_AN	CATS2D_03_AN	CATS2D_04_AN	CATS2D_05_AN	CATS2D_06_AN	CATS2D_07_AN	CATS2D_08_AN	CATS2D_09_AN	CATS2D_02_AL	CATS2D_03_AL	CATS2D_04_AL	CATS2D_05_AL	CATS2D_06_AL	CATS2D_07_AL	CATS2D_08_AL	CATS2D_09_AL	CATS2D_00_PP	CATS2D_03_PN	CATS2D_05_PN	CATS2D_09_PN	CATS2D_03_PL	CATS2D_04_PL	CATS2D_05_PL	CATS2D_06_PL	CATS2D_07_PL	CATS2D_08_PL	CATS2D_09_PL	CATS2D_02_NL	CATS2D_03_NL	CATS2D_04_NL	CATS2D_05_NL	CATS2D_06_NL	CATS2D_07_NL	CATS2D_08_NL	CATS2D_09_NL	CATS2D_00_LL	CATS2D_01_LL	CATS2D_03_LL	CATS2D_04_LL	CATS2D_05_LL	CATS2D_06_LL	CATS2D_07_LL	CATS2D_08_LL	CATS2D_09_LL	SHED_DA	SHED_DP	SHED_DN	SHED_DL	SHED_AA	SHED_AP	SHED_AN	SHED_AL	SHED_PP	SHED_PN	SHED_PL	SHED_NL	SHED_LL
29	Ceftazidime	0	0	0	1	0	0	2	3	2	1	4	3	0	4	1	0	1	0	0	1	1	1	1	1	0	2	2	0	2	3	3	6	6	6	3	8	2	3	1	0	1	3	3	0	0	5	2	2	1	2	0	2	1	1	8	9	4	5	7	8	9	7	2	0	1	1	1	1	0	0	0	2	1	0	3	0	1	0	2	2	0	8	2	0	2	1	2	3	1	2	8.15208513671111	3	4	9.20756407058823	11.0531861839831	8.5796374541035	8.91086208937436	13.4107470514106	1	4	8.72406186132206	8.17171598155044	11.7377996521076
30	Cefoperazone	0	1	0	1	1	0	3	3	1	4	5	3	4	4	0	0	0	0	0	1	0	1	3	6	5	3	1	2	1	0	8	6	1	8	2	8	16	2	0	0	0	0	0	0	0	0	1	1	0	1	0	2	3	0	7	7	11	15	10	12	12	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	9	4	2	1	0	1	2	3	3	12.9819293405694	0	3	8.86468765485763	14.7913826599334	0	7.44510156018509	15.0569656310005	0	0	0	5.66964472452693	11.6425597168239
31	Ceftazidime	0	0	0	1	0	0	2	3	2	1	4	3	0	4	1	0	1	0	0	1	1	1	1	1	0	2	2	0	2	3	3	6	6	6	3	8	2	3	1	0	1	3	3	0	0	5	2	2	1	2	0	2	1	1	8	9	4	5	7	8	9	7	2	0	1	1	1	1	0	0	0	2	1	0	3	0	1	0	2	2	0	8	2	0	2	1	2	3	1	2	8.15208513671111	3	4	9.20756407058823	11.0531861839831	8.5796374541035	8.91086208937436	13.4107470514106	1	4	8.72406186132206	8.17171598155044	11.7377996521076
32	Cefoperazone	0	1	0	1	1	0	3	3	1	4	5	3	4	4	0	0	0	0	0	1	0	1	3	6	5	3	1	2	1	0	8	6	1	8	2	8	16	2	0	0	0	0	0	0	0	0	1	1	0	1	0	2	3	0	7	7	11	15	10	12	12	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	9	4	2	1	0	1	2	3	3	12.9819293405694	0	3	8.86468765485763	14.7913826599334	0	7.44510156018509	15.0569656310005	0	0	0	5.66964472452693	11.6425597168239
33	Ceftazidime	0	0	0	1	0	0	2	3	2	1	4	3	0	4	1	0	1	0	0	1	1	1	1	1	0	2	2	0	2	3	3	6	6	6	3	8	2	3	1	0	1	3	3	0	0	5	2	2	1	2	0	2	1	1	8	9	4	5	7	8	9	7	2	0	1	1	1	1	0	0	0	2	1	0	3	0	1	0	2	2	0	8	2	0	2	1	2	3	1	2	8.15208513671111	3	4	9.20756407058823	11.0531861839831	8.5796374541035	8.91086208937436	13.4107470514106	1	4	8.72406186132206	8.17171598155044	11.7377996521076
34	Imipenem	1	0	0	0	0	1	0	0	2	0	1	4	2	3	2	0	0	0	0	0	2	1	2	1	1	2	1	2	0	2	2	2	2	2	0	2	0	0	0	0	0	0	1	2	2	3	1	1	0	1	0	1	0	0	5	1	8	3	1	2	0	0	2	0	0	1	1	0	2	0	2	0	2	0	0	2	1	0	1	0	0	4	0	0	2	0	1	0	0	0	6.10748003888746	3	1.88988157484231	7.55952629936924	5	5.45069178784675	4	4.60659797139501	1	2	4.75682846001088	2.82842712474619	2.7494592739972
35	Cefoperazone	0	1	0	1	1	0	3	3	1	4	5	3	4	4	0	0	0	0	0	1	0	1	3	6	5	3	1	2	1	0	8	6	1	8	2	8	16	2	0	0	0	0	0	0	0	0	1	1	0	1	0	2	3	0	7	7	11	15	10	12	12	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	9	4	2	1	0	1	2	3	3	12.9819293405694	0	3	8.86468765485763	14.7913826599334	0	7.44510156018509	15.0569656310005	0	0	0	5.66964472452693	11.6425597168239
36	Ceftazidime	0	0	0	1	0	0	2	3	2	1	4	3	0	4	1	0	1	0	0	1	1	1	1	1	0	2	2	0	2	3	3	6	6	6	3	8	2	3	1	0	1	3	3	0	0	5	2	2	1	2	0	2	1	1	8	9	4	5	7	8	9	7	2	0	1	1	1	1	0	0	0	2	1	0	3	0	1	0	2	2	0	8	2	0	2	1	2	3	1	2	8.15208513671111	3	4	9.20756407058823	11.0531861839831	8.5796374541035	8.91086208937436	13.4107470514106	1	4	8.72406186132206	8.17171598155044	11.7377996521076
37	Ceftriaxone	0	0	0	1	0	0	2	3	2	1	4	0	0	4	1	0	1	0	0	1	0	0	1	1	0	2	0	1	0	1	5	9	4	4	4	9	7	6	1	0	0	1	2	0	0	2	2	3	0	1	0	3	3	3	5	3	7	9	5	5	4	4	1	0	0	0	0	0	0	0	0	0	1	0	2	0	3	0	1	0	0	4	0	0	1	0	0	0	1	0	11.2240800237043	1	4	6.72717132202972	14.5107483063177	8.48582603511376	9.95884005986143	11.4134148125909	0	2	4	4.45565973351251	4.7622031559046
38	Ceftazidime	0	0	0	1	0	0	2	3	2	1	4	3	0	4	1	0	1	0	0	1	1	1	1	1	0	2	2	0	2	3	3	6	6	6	3	8	2	3	1	0	1	3	3	0	0	5	2	2	1	2	0	2	1	1	8	9	4	5	7	8	9	7	2	0	1	1	1	1	0	0	0	2	1	0	3	0	1	0	2	2	0	8	2	0	2	1	2	3	1	2	8.15208513671111	3	4	9.20756407058823	11.0531861839831	8.5796374541035	8.91086208937436	13.4107470514106	1	4	8.72406186132206	8.17171598155044	11.7377996521076
39	Cefsulodin	0	0	0	0	0	0	2	2	3	1	2	1	0	1	1	0	0	1	0	1	0	0	1	4	2	3	1	1	0	3	5	2	4	7	1	6	2	2	1	0	1	4	1	0	0	2	3	1	1	2	0	2	1	0	6	9	11	11	8	14	8	9	2	0	1	0	3	1	0	0	1	0	1	0	2	2	3	1	3	1	2	11	8	3	2	1	3	3	3	3	10.9013835756935	3	4	10.4890017909906	10.0186302800077	7.7009621056504	7.41038978946119	14.1361604837533	1	4	11.4400990749803	11.1712178946144	13.2575676456999
40	Ceftazidime	0	0	0	1	0	0	2	3	2	1	4	3	0	4	1	0	1	0	0	1	1	1	1	1	0	2	2	0	2	3	3	6	6	6	3	8	2	3	1	0	1	3	3	0	0	5	2	2	1	2	0	2	1	1	8	9	4	5	7	8	9	7	2	0	1	1	1	1	0	0	0	2	1	0	3	0	1	0	2	2	0	8	2	0	2	1	2	3	1	2	8.15208513671111	3	4	9.20756407058823	11.0531861839831	8.5796374541035	8.91086208937436	13.4107470514106	1	4	8.72406186132206	8.17171598155044	11.7377996521076
41	Nocardicin B	0	0	1	0	0	1	1	3	2	0	3	6	1	1	0	0	0	0	0	1	1	0	2	4	5	5	2	2	0	3	3	3	1	6	4	6	3	2	0	2	1	0	0	0	0	0	2	1	0	2	0	1	1	1	7	14	15	10	4	9	12	11	1	1	0	0	0	0	0	2	2	1	0	0	2	2	2	0	2	2	2	11	8	4	2	2	1	0	1	4	11.203810480349	1.88988157484231	4.7622031559046	11.5516367669906	15.1314209485917	6.64449194422446	11.930789796909	14.5722465682922	0	2	6.64449194422446	11.7154519838396	10.9593246043387
42	Cyclacillin	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	3	2	3	0	0	0	0	2	2	0	4	0	0	2	0	0	1	0	0	2	0	0	2	1	1	0	1	0	0	1	0	1	4	9	4	4	6	2	4	1	0	0	1	2	1	0	1	0	2	0	0	0	3	0	0	0	0	2	8	4	2	0	0	2	2	5	4	2.87174588749259	1	1	2.95115178586752	3.789291416276	2.87174588749259	4	8.69960920088513	0	1	4.75682846001088	3.74674829750099	7.12921543300783
43	Cefuroxime	0	0	0	0	0	1	3	3	2	0	3	3	1	1	1	0	0	0	0	1	1	0	0	1	2	2	1	0	0	0	3	4	4	6	4	6	3	3	2	0	0	0	1	2	1	0	1	1	0	2	0	1	1	1	5	3	7	5	2	5	3	2	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	4	1	0	0	0	0	1	1	1	9.00640025680409	1	2	5.65685424949238	11.6649102943897	6.59753955386447	6.6138052152402	10.9533584700698	0	1	4	4	6
44	Cefuroxime	0	0	0	0	0	1	3	3	2	0	3	3	1	1	1	0	0	0	0	1	1	0	0	1	2	2	1	0	0	0	3	4	4	6	4	6	3	3	2	0	0	0	1	2	1	0	1	1	0	2	0	1	1	1	5	3	7	5	2	5	3	2	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	4	1	0	0	0	0	1	1	1	9.00640025680409	1	2	5.65685424949238	11.6649102943897	6.59753955386447	6.6138052152402	10.9533584700698	0	1	4	4	6
